DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
2021/1/1,49443.4199,11435.60187,60879.02178
2021/1/2,102400.5,8339.660173,110740.1602
2021/1/3,70959.54441,635.3478391,71594.89225
2021/1/4,62706.96093,141560.156,204267.1169
2021/1/5,178891.6006,3330.304425,182221.905
2021/1/6,232876.9126,2145.408368,235022.3209
2021/1/7,487461.5956,3636.093919,491097.6895
2021/1/8,518598.102,122380.6097,640978.7116
2021/1/9,643916.4354,15448.26427,659364.6997
2021/1/10,664779.4958,29335.75133,694115.2471
2021/1/11,119117.3931,114768.9987,233886.3918
2021/1/12,509701.0996,4017.609473,513718.7091
2021/1/13,220829.1545,7217.780994,228046.9355
2021/1/14,521863.0588,4791.394315,526654.4531
2021/1/15,444869.2302,7303.642257,452172.8725
2021/1/16,556630.1601,5100.808301,561730.9684
2021/1/17,541282.7432,7269.164134,548551.9073
2021/1/18,713288.9031,21782.3973,735071.3005
2021/1/19,597827.441,7207.721964,605035.1629
2021/1/20,550601.2177,9130.118947,559731.3367
2021/1/21,557792.5938,11637.06359,569429.6574
2021/1/22,296024.9501,68444.42274,364469.3729
2021/1/23,574951.6796,30969.79778,605921.4774
2021/1/24,772536.2748,9817.238944,782353.5137
2021/1/25,623527.6407,25618.39312,649146.0338
2021/1/26,466955.7048,30132.94851,497088.6533
2021/1/27,598799.3027,17056.79107,615856.0938
2021/1/28,327335.8823,13474.43111,340810.3134
2021/1/29,425780.1824,19932.47305,445712.6555
2021/1/30,733039.0721,23713.43859,756752.5107
2021/1/31,623648.4716,21985.91384,645634.3855
2021/2/1,601923.8801,23498.65818,625422.5383
2021/2/2,437596.7276,16983.22169,454579.9493
2021/2/3,1154272.482,36603.86407,1190876.346
2021/2/4,522420.2373,22947.0095,545367.2468
2021/2/5,800283.6537,35042.79596,835326.4496
2021/2/6,532635.7012,43782.45866,576418.1599
2021/2/7,595315.2724,20714.00404,616029.2764
2021/2/8,594240.0256,54697.42823,648937.4538
2021/2/9,933742.0963,38817.14614,972559.2425
2021/2/10,741295.4131,51599.83601,792895.2491
2021/2/11,1043358.82,14967.03287,1058325.853
2021/2/12,1216132.275,15455.01226,1231587.287
2021/2/13,1234354.64,12755.59027,1247110.23
2021/2/14,1028356.205,37474.05089,1065830.256
2021/2/15,1048880.33,28835.3362,1077715.666
2021/2/16,923458.6507,37050.50242,960509.1531
2021/2/17,1483511.358,8569.299618,1492080.658
2021/2/18,963886.6891,96927.37237,1060814.062
2021/2/19,936238.5291,28949.49791,965188.027
2021/2/20,1561155.629,15364.63405,1576520.263
2021/2/21,2605540.879,134115.2901,2739656.169
2021/2/22,1926500.06,41563.89727,1968063.958
2021/2/23,2353948.547,5241.181557,2359189.729
2021/2/24,1325896.375,16667.39571,1342563.77
2021/2/25,1722100.062,37490.50762,1759590.569
2021/2/26,686416.6003,17434.94004,703851.5403
2021/2/27,745641.2855,10239.69635,755880.9818
2021/2/28,935416.1999,16392.18881,951808.3887
2021/3/1,969524.073,152964.0029,1122488.076
2021/3/2,1360532.826,16540.09814,1377072.924
2021/3/3,955114.617,105205.2933,1060319.91
2021/3/4,787077.0421,21921.9818,808999.0239
2021/3/5,1198019.596,407.6736404,1198427.27
2021/3/6,1004585.876,45295.54201,1049881.418
2021/3/7,981249.656,19884.65592,1001134.312
2021/3/8,1321977.067,2796.195026,1324773.262
2021/3/9,1516634.512,28976.26225,1545610.774
2021/3/10,969116.8662,24387.25629,993504.1225
2021/3/11,1356038.37,39757.79699,1395796.167
2021/3/12,971007.6807,20046.55685,991054.2376
2021/3/13,834381.9671,33332.58472,867714.5518
2021/3/14,1386271.252,4837.678647,1391108.93
2021/3/15,1574797.248,49586.58657,1624383.835
2021/3/16,1101735.685,69809.93865,1171545.623
2021/3/17,719559.2647,58674.01202,778233.2768
2021/3/18,1311738.828,8416.245108,1320155.073
2021/3/19,1161869.012,9220069.005,10381938.02
2021/3/20,3556112.232,5526714.946,9082827.179
2021/3/21,935232.2648,2743545.339,3678777.604
2021/3/22,1360498.673,3233534.494,4594033.167
2021/3/23,1070532.273,4788494.613,5859026.886
2021/3/24,10518656.64,13873265.48,24391922.12
2021/3/25,3862105.064,3319573.872,7181678.937
2021/3/26,2128775.994,1721663.248,3850439.242
2021/3/27,907115.8586,1650203.341,2557319.2
2021/3/28,685422.2707,86342.30726,771764.578
2021/3/29,962264.3653,1833689.897,2795954.263
2021/3/30,745466.43,432671.4863,1178137.916
2021/3/31,720705.8322,122220.8314,842926.6636
2021/4/1,1457062.725,53605.92888,1510668.653
2021/4/2,2253422.472,586165.5113,2839587.983
2021/4/3,1443051.946,213290.8526,1656342.798
2021/4/4,914219.5056,799363.9045,1713583.41
2021/4/5,1241443.5,60791.50872,1302235.009
2021/4/6,2011992.968,90029.62193,2102022.59
2021/4/7,1445330.376,300587.5295,1745917.905
2021/4/8,1348465.303,222628.0953,1571093.398
2021/4/9,792021.1929,191840.2562,983861.4491
2021/4/10,683415.9858,114226.3088,797642.2946
2021/4/11,4259155.292,3962203.584,8221358.877
2021/4/12,688119.0916,132641.7712,820760.8628
2021/4/13,1263043.208,296236.5965,1559279.804
2021/4/14,623326.0715,2242851.407,2866177.479
2021/4/15,655323.8,66205.3365,721529.1365
2021/4/16,1228161.632,58103.05593,1286264.688
2021/4/17,1129810.145,115381.3978,1245191.543
2021/4/18,1321210.314,120690.5307,1441900.845
2021/4/19,910202.942,42372.4606,952575.4026
2021/4/20,1254922.502,683374.1114,1938296.613
2021/4/21,613513.7965,2681878.791,3295392.587
2021/4/22,620826.9624,61953.04549,682780.0079
2021/4/23,796509.0984,149014.5007,945523.5991
2021/4/24,228704.2115,49982.66568,278686.8771
2021/4/25,332644.6001,89866.47509,422511.0752
2021/4/26,362646.803,47393.34071,410040.1437
2021/4/27,856420.3594,12452842.1,13309262.46
2021/4/28,482862.7578,66813.34567,549676.1034
2021/4/29,548231.9029,176937.5359,725169.4388
2021/4/30,1178717.768,78096.29709,1256814.065
2021/5/1,740035.5424,17090966.32,17831001.87
2021/5/2,1133464.578,30994.13014,1164458.709
2021/5/3,1294409.424,2508583.314,3802992.738
2021/5/4,867737.6726,5542383.928,6410121.6
2021/5/5,832104.7322,39277.41617,871382.1484
2021/5/6,1305862.349,102655.5879,1408517.937
2021/5/7,5925783.617,1575259.825,7501043.441
2021/5/8,1554423.992,170407.64,1724831.632
2021/5/9,1114954.113,174351.1738,1289305.286
2021/5/10,1350449.26,4310033.286,5660482.546
2021/5/11,879182.8599,333261.6345,1212444.494
2021/5/12,1753713.006,83048.38507,1836761.391
2021/5/13,1049751.584,179093.9467,1228845.531
2021/5/14,1510341.753,2363362.173,3873703.926
2021/5/15,431997.0915,61208.47539,493205.5669
2021/5/16,1048429.299,47287.18594,1095716.485
2021/5/17,577660.0593,47323.30826,624983.3676
2021/5/18,270877.6985,44008379.55,44279257.25
2021/5/19,5117056.139,2516289.603,7633345.741
2021/5/20,18863903.58,18426567.86,37290471.44
2021/5/21,558033.1605,10690.96155,568724.122
2021/5/22,402947.8271,17030.2699,419978.097
2021/5/23,11071666.72,10055686.09,21127352.81
2021/5/24,438013.4439,251623.9081,689637.3519
2021/5/25,607467.6887,57533.01465,665000.7034
2021/5/26,323329.8136,36966.92784,360296.7414
2021/5/27,1043460.467,13422.96663,1056883.434
2021/5/28,1424495.526,11087.70234,1435583.228
2021/5/29,1182685.912,22046.31751,1204732.23
2021/5/30,1147955.11,38025.30188,1185980.412
2021/5/31,1064840.239,64610.1046,1129450.344
2021/6/1,6239107.887,2714292.388,8953400.275
2021/6/2,3061907.901,1522937.069,4584844.97
2021/6/3,1440624.421,105944.8765,1546569.297
2021/6/4,1592757.934,75494.40269,1668252.337
2021/6/5,2481186.945,72033.34043,2553220.285
2021/6/6,846404.1582,14362.48289,860766.6411
2021/6/7,1211526.586,84055.35469,1295581.941
2021/6/8,382550.1673,11461.80209,394011.9694
2021/6/9,535343.7919,1060671.056,1596014.848
2021/6/10,827660.7038,241626.7126,1069287.416
2021/6/11,152263.5949,20247.97674,172511.5716
2021/6/12,791331.1559,530661.3541,1321992.51
2021/6/13,107676.3615,2815.478504,110491.84
2021/6/14,447886.8678,40563.55719,488450.425
2021/6/15,197965.006,66171.93953,264136.9455
2021/6/16,297062.566,42515.26247,339577.8285
2021/6/17,250762.1571,1125768.318,1376530.475
2021/6/18,112125.8648,68307.49773,180433.3626
2021/6/19,54752.09622,242164.7462,296916.8424
2021/6/20,275231.4818,186186.9938,461418.4757
2021/6/21,318792.9803,19418.33113,338211.3114
2021/6/22,392877.915,28621.32911,421499.2441
2021/6/23,148189.7926,663251.8997,811441.6923
2021/6/24,6578802.137,6485798.476,13064600.61
2021/6/25,205604.8993,61205.46477,266810.364
2021/6/26,7998938.128,4154714.264,12153652.39
2021/6/27,214096.5082,10546.29098,224642.7991
2021/6/28,190067.1894,67253.47019,257320.6596
2021/6/29,105142.2023,65451.77705,170593.9794
2021/6/30,163312.1586,47856.52238,211168.681
2021/7/1,219706.0566,6349.960451,226056.0171
2021/7/2,111910.5019,282989.5517,394900.0536
2021/7/3,112237.8603,69433.87534,181671.7356
2021/7/4,268613.1865,410905.6689,679518.8553
2021/7/5,65801.29904,76638.69616,142439.9952
2021/7/6,121967.8683,1925524.086,2047491.954
2021/7/7,119198.7595,648599.3536,767798.1131
2021/7/8,156737.7188,23739.99282,180477.7116
2021/7/9,127214.2914,335314.3642,462528.6556
2021/7/10,73880.15271,20902.24437,94782.39708
2021/7/11,81955.30436,43912.22212,125867.5265
2021/7/12,77986.07841,81779.81838,159765.8968
2021/7/13,4427638.176,7520747.789,11948385.96
2021/7/14,2450220.211,2607368.722,5057588.933
2021/7/15,174096.5923,21941.76735,196038.3597
2021/7/16,61524.3721,38069.33114,99593.70324
2021/7/17,32177.89219,32712.43533,64890.32752
2021/7/18,1714793.542,12348.98907,1727142.531
2021/7/19,480202.0535,322199.1103,802401.1637
2021/7/20,82845.49534,9449.929822,92295.42516
2021/7/21,128035.4044,51305.27629,179340.6807
2021/7/22,137023.7903,17731.78578,154755.5761
2021/7/23,232238.4393,256586.9145,488825.3538
2021/7/24,474803.3816,12364.53629,487167.9179
2021/7/25,349267.8994,12951.435,362219.3344
2021/7/26,1212338.961,155922.0374,1368260.998
2021/7/27,209474.3697,210025.2355,419499.6052
2021/7/28,847097.514,113458.3919,960555.906
2021/7/29,537213.573,25000.65091,562214.2239
2021/7/30,3621394.831,3193990.22,6815385.052
2021/7/31,391520.2486,136952.0099,528472.2585
2021/8/1,252406.6854,157860.8721,410267.5575
