DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
00:00.0,366466540.5,398059.0441,366864599.6
00:00.0,862770054.6,2568374.319,865338428.9
00:00.0,642354098.7,10738918.45,653093017.1
00:00.0,465523730.3,26465406.74,491989137
00:00.0,546332699.6,13305793.69,559638493.2
00:00.0,504628228.5,4683824.345,509312052.8
00:00.0,513594798.1,8931314.743,522526112.8
00:00.0,690174100,14383612.74,704557712.8
00:00.0,909324971.9,3351632.002,912676603.9
00:00.0,701006736.4,7563429.4,708570165.8
00:00.0,881202993.4,46100269.51,927303262.9
00:00.0,1271024065,8696936.379,1279721001
00:00.0,686895899.3,8450163.291,695346062.6
00:00.0,1222250151,4224749.425,1226474900
00:00.0,1108676127,4501074.179,1113177201
00:00.0,1347767927,3224330.88,1350992258
00:00.0,693870816.3,2251538.449,696122354.7
00:00.0,695061045.2,1122180.007,696183225.2
00:00.0,1576370916,11867619.83,1588238535
00:00.0,866761220.1,6993224.16,873754444.3
00:00.0,1184882845,14695809.52,1199578655
00:00.0,1221215608,13973969.65,1235189578
00:00.0,1756063750,848250.845,1756912000
00:00.0,1286289167,25597512.27,1311886679
00:00.0,1791012438,14672806.89,1805685245
00:00.0,1668600538,8839050.318,1677439589
00:00.0,1426387151,9548054.289,1435935206
00:00.0,1814134150,1967922.871,1816102073
00:00.0,1287101642,5534124.269,1292635767
00:00.0,1351431291,1722077.589,1353153369
00:00.0,1817235521,2270941.246,1819506463
00:00.0,1082877477,1364096.59,1084241574
00:00.0,2003851005,11251875.7,2015102881
00:00.0,539899747.9,11009809.35,550909557.3
00:00.0,4529057933,8995045.645,4538052979
00:00.0,2403550480,7454558.585,2411005039
00:00.0,3375874404,1269922.863,3377144327
00:00.0,2132070550,10867344.19,2142937894
00:00.0,2236002416,6105176.883,2242107593
00:00.0,1498626184,9186921.073,1507813105
00:00.0,1329144472,3634706.283,1332779178
00:00.0,1318777911,967497.2143,1319745408
00:00.0,2420478464,5812884.682,2426291349
00:00.0,2120133970,1598160.024,2121732130
00:00.0,2636577242,902580.8183,2637479823
00:00.0,2376724218,3541622.623,2380265840
00:00.0,3154521747,872944.3819,3155394692
00:00.0,2757389170,1460951.14,2758850121
00:00.0,2980762356,10077124.24,2990839480
00:00.0,2058382175,6391862.209,2064774037
00:00.0,3390291358,7539173.021,3397830531
00:00.0,1722590928,1459533.626,1724050461
00:00.0,4026372866,18548815.86,4044921682
00:00.0,3189675115,42403893.69,3232079009
00:00.0,2805332767,8445411.422,2813778179
00:00.0,2429712430,1859759.683,2431572190
00:00.0,2193828490,10832443.22,2204660933
00:00.0,1997297621,2099597.357,1999397219
00:00.0,3188741748,27535621.39,3216277369
00:00.0,2471972819,11933312.9,2483906132
00:00.0,1191501003,6831450.558,1198332454
00:00.0,557506034.1,5865014.326,563371048.4
00:00.0,741676116.7,4289711.834,745965828.5
00:00.0,1767554606,10926976.15,1778481582
00:00.0,1304970899,15217096.29,1320187995
00:00.0,1403030820,9284337.014,1412315157
00:00.0,982902451.1,14101640.66,997004091.8
00:00.0,866757931.8,16688010.85,883445942.7
00:00.0,888034159.1,2672596.152,890706755.2
00:00.0,1639188063,2938275.571,1642126339
00:00.0,1196872867,1938554.387,1198811421
00:00.0,1600814659,13548017.68,1614362677
00:00.0,613748965.9,105287.92,613854253.8
00:00.0,1114168222,3881177.169,1118049399
00:00.0,1858164437,0,1858164437
00:00.0,1924641577,3864.785649,1924645442
00:00.0,1417668344,0,1417668344
00:00.0,1561788727,2170.040297,1561790897
00:00.0,639086021.2,0,639086021.2
