DATE,N_TRANSFER,USER,AMOUNT_USD,AMOUNT_ETH,CEX,DEX
00:00.0,6,6,10005.69467,13.59962961,coinbase,uniswap
00:00.0,14,14,27996.67276,37.36088418,coinbase,uniswap
00:00.0,4,4,8458.291214,9.7,coinbase,sushiswap
00:00.0,3,3,7148.253988,9.2,coinbase,uniswap
00:00.0,2,2,1045.716918,1.00863816,coinbase,uniswap
00:00.0,7,7,19819.62208,18.96,coinbase,sushiswap
00:00.0,11,11,34971.92827,32.35999946,coinbase,uniswap
00:00.0,6,6,22787.11452,19.51918046,coinbase,sushiswap
00:00.0,1,1,572.9527255,0.5,lcx,uniswap
00:00.0,11,11,43410.09727,38.07429244,coinbase,uniswap
00:00.0,10,10,60522.87116,49.68,coinbase,sushiswap
00:00.0,6,6,25661.48061,20.74439709,coinbase,uniswap
00:00.0,22,22,102539.803,85.56683156,coinbase,uniswap
00:00.0,1,1,1190.446271,1,lcx,uniswap
00:00.0,4,4,25247.41428,20.74,coinbase,sushiswap
00:00.0,22,22,94023.03192,77.74438441,coinbase,uniswap
00:00.0,1,1,8748.528677,6.78,coinbase,sushiswap
00:00.0,2,2,10722.76738,8.206451194,coinbase,sushiswap
00:00.0,18,18,84075.31738,63.66665492,coinbase,uniswap
00:00.0,1,1,1085.636099,0.85,lcx,uniswap
00:00.0,3,6,8614.876772,7.769025369,coinbase,sushiswap
00:00.0,11,11,43386.57592,36.73998505,coinbase,uniswap
00:00.0,27,27,113345.272,105.4164556,coinbase,uniswap
00:00.0,10,10,49471.52821,45.38923305,coinbase,sushiswap
00:00.0,3,5,15684.31432,14.69293231,coinbase,sushiswap
00:00.0,2,2,8536.440489,7.996864874,coinbase,uniswap
00:00.0,1,1,1051.021947,1,lcx,uniswap
00:00.0,16,22,75650.02325,65.20644518,coinbase,sushiswap
00:00.0,12,12,57315.05766,48.52573116,coinbase,uniswap
00:00.0,9,9,42808.15904,36.11889183,coinbase,uniswap
00:00.0,9,10,64151.54297,53.83493613,coinbase,sushiswap
00:00.0,17,17,80033.15709,66.06688088,coinbase,uniswap
00:00.0,13,13,76319.90924,63.09515033,coinbase,sushiswap
00:00.0,8,11,49115.32412,39.78185681,coinbase,sushiswap
00:00.0,14,14,97652.57702,79.38738117,coinbase,uniswap
00:00.0,23,23,129174.4957,105.1452126,coinbase,uniswap
00:00.0,9,11,55422.78011,45.19987518,coinbase,sushiswap
00:00.0,15,15,82510.10882,63.41244985,coinbase,uniswap
00:00.0,10,16,29230.13403,23.10027253,coinbase,sushiswap
00:00.0,20,20,119316.717,88.70938295,coinbase,uniswap
00:00.0,6,6,54365.55101,40.41452247,coinbase,sushiswap
00:00.0,19,19,124158.7716,98.45800366,coinbase,uniswap
00:00.0,3,3,15257.30489,11.91620681,coinbase,0x
00:00.0,2,2,16290.96901,12.67419979,coinbase,sushiswap
00:00.0,6,6,49653.94494,40.68,coinbase,sushiswap
00:00.0,15,15,99817.75054,81.49174265,coinbase,uniswap
00:00.0,16,16,98947.75732,79.40183811,coinbase,uniswap
00:00.0,9,9,65651.77455,52.67359808,coinbase,sushiswap
00:00.0,2,2,13424.54351,10.86971151,coinbase,0x
00:00.0,30,30,221844.4141,171.0212765,coinbase,uniswap
00:00.0,9,9,89606.46241,67.72666667,coinbase,sushiswap
00:00.0,2,2,2693.04741,2,lcx,uniswap
00:00.0,7,7,69270.5741,49.25383431,coinbase,sushiswap
00:00.0,29,29,216463.7554,153.6553224,coinbase,uniswap
00:00.0,9,9,79127.75449,59.45545108,coinbase,sushiswap
00:00.0,26,26,194332.7979,145.3638447,coinbase,uniswap
00:00.0,24,24,155657.1155,119.5231182,coinbase,uniswap
00:00.0,11,11,78772.64737,60.39786685,coinbase,sushiswap
00:00.0,2,2,8557.383438,6.365644899,coinbase,0x
00:00.0,2,2,14430.28629,11.1398484,coinbase,sushiswap
00:00.0,12,12,74398.78014,57.24088841,coinbase,uniswap
00:00.0,8,8,66453.1504,49.05374072,coinbase,sushiswap
00:00.0,8,8,65246.11653,48.02,coinbase,uniswap
00:00.0,1,1,5410.577851,4.139396881,coinbase,0x
00:00.0,19,19,129694.4756,94.48877307,coinbase,uniswap
00:00.0,1,1,2675.388761,1.952901682,coinbase,0x
00:00.0,12,12,94756.83903,68.86597807,coinbase,sushiswap
00:00.0,5,5,46473.45813,34.41039516,coinbase,sushiswap
00:00.0,1,1,1003.789819,0.77,lcx,uniswap
00:00.0,35,35,229686.0599,171.8710835,coinbase,uniswap
00:00.0,28,28,208702.2516,158.454934,coinbase,uniswap
00:00.0,21,21,189457.2913,132.5457132,coinbase,uniswap
00:00.0,2,2,20351.18953,15.14410428,coinbase,sushiswap
00:00.0,1,1,9515.867083,5.835716947,coinbase,0x
00:00.0,1,1,1219.299083,0.8,lcx,uniswap
00:00.0,9,9,118590.5734,75.08987711,coinbase,uniswap
00:00.0,9,9,292211.0214,187.2560953,coinbase,dydx
00:00.0,2,2,20293.02307,13.1450298,coinbase,sushiswap
00:00.0,2,2,22506.29781,13.83468522,coinbase,sushiswap
00:00.0,13,13,136088.4178,82.49784743,coinbase,uniswap
00:00.0,20,20,182679.6981,110.4709295,coinbase,uniswap
00:00.0,8,8,109203.9224,64.42296259,coinbase,sushiswap
00:00.0,3,3,34365.91447,20.37618219,coinbase,sushiswap
00:00.0,2,2,11366.00928,6.721376384,bitbee,uniswap
00:00.0,14,14,146886.5466,86.9769692,coinbase,uniswap
00:00.0,17,17,176050.4942,111.1521666,coinbase,uniswap
00:00.0,1,1,4651.787141,3.004266602,bitbee,uniswap
00:00.0,2,2,23694.27583,15,coinbase,dydx
00:00.0,2,2,25667.08798,15.73594406,coinbase,sushiswap
00:00.0,11,11,131913.0262,81.01842955,coinbase,uniswap
00:00.0,1,1,16923.22022,10.656,coinbase,sushiswap
00:00.0,1,1,1376.406992,0.78417336,bitbee,balancer
00:00.0,3,3,50225.80894,28.52256579,coinbase,sushiswap
00:00.0,30,30,341544.982,195.1716634,coinbase,uniswap
00:00.0,11,11,121272.0863,68.28736266,coinbase,uniswap
