DATE,N_TRANSFER,USER,AMOUNT_USD,AMOUNT_ETH,CEX,DEX
2021-01-01 00:00:00.000,8,8,10483.705772019,14.248830791,coinbase,uniswap
2021-01-02 00:00:00.000,16,16,17517.570430823,23.64685212,coinbase,uniswap
2021-01-03 00:00:00.000,5,5,12287.179188707,15.237489049,coinbase,uniswap
2021-01-03 00:00:00.000,1,1,2098.510790587,2.56707351,coinbase,sushiswap
2021-01-05 00:00:00.000,2,2,6508.21064513,6.345680899,coinbase,sushiswap
2021-01-05 00:00:00.000,13,13,42277.219163992,39.063516369,coinbase,uniswap
2021-01-06 00:00:00.000,4,4,14234.886660315,12.339424188,coinbase,sushiswap
2021-01-06 00:00:00.000,10,10,33472.313665329,29.398213089,coinbase,uniswap
2021-01-07 00:00:00.000,11,11,67779.270708635,55.573061547,coinbase,sushiswap
2021-01-07 00:00:00.000,4,4,21824.924414229,17.379779005,coinbase,uniswap
2021-01-08 00:00:00.000,4,4,26792.278566201,22.005446538,coinbase,sushiswap
2021-01-08 00:00:00.000,22,22,105706.14234494,88.193197949,coinbase,uniswap
2021-01-09 00:00:00.000,22,22,93943.987074073,77.657237232,coinbase,uniswap
2021-01-09 00:00:00.000,1,1,10291.358967174,7.975674124,coinbase,sushiswap
2021-01-10 00:00:00.000,18,18,85580.478104922,64.753114772,coinbase,uniswap
2021-01-10 00:00:00.000,2,2,11158.040231221,8.536805655,coinbase,sushiswap
2021-01-11 00:00:00.000,9,9,39036.372594539,32.890028941,coinbase,uniswap
2021-01-11 00:00:00.000,3,4,7375.792735587,6.483158568,coinbase,sushiswap
2021-01-12 00:00:00.000,13,13,67499.456472365,61.685946617,coinbase,sushiswap
2021-01-12 00:00:00.000,26,26,109619.114952923,101.98235381,coinbase,uniswap
2021-01-13 00:00:00.000,2,2,8880.049604536,8.318754972,coinbase,uniswap
2021-01-13 00:00:00.000,6,14,13652.597304752,12.832182803,coinbase,sushiswap
2021-01-14 00:00:00.000,11,11,46195.541994378,39.546397996,coinbase,uniswap
2021-01-14 00:00:00.000,13,14,57116.301521529,48.833939967,coinbase,sushiswap
2021-01-15 00:00:00.000,9,9,43801.548169721,36.966461932,coinbase,uniswap
2021-01-15 00:00:00.000,12,19,71413.574848583,59.919417783,coinbase,sushiswap
2021-01-16 00:00:00.000,11,15,39752.076227563,33.298485809,coinbase,sushiswap
2021-01-16 00:00:00.000,17,17,81403.322267289,67.21416551,coinbase,uniswap
2021-01-17 00:00:00.000,11,19,48924.652729012,39.602325522,coinbase,sushiswap
2021-01-17 00:00:00.000,15,15,108097.18672789,87.785247348,coinbase,uniswap
2021-01-18 00:00:00.000,9,13,57459.521852193,46.845646171,coinbase,sushiswap
2021-01-18 00:00:00.000,23,23,141061.198583921,114.804581933,coinbase,uniswap
2021-01-19 00:00:00.000,20,20,109872.266765431,86.257604414,coinbase,uniswap
2021-01-19 00:00:00.000,3,3,16891.213687269,13.655332347,coinbase,sushiswap
2021-01-20 00:00:00.000,23,23,138220.001258257,102.632361975,coinbase,uniswap
2021-01-20 00:00:00.000,7,8,57056.539833199,42.442202057,coinbase,sushiswap
2021-01-21 00:00:00.000,3,3,26889.408030939,20.679533088,coinbase,sushiswap
2021-01-21 00:00:00.000,1,1,10183.321528687,7.680143849,coinbase,0x
2021-01-21 00:00:00.000,20,20,133681.834362021,105.595374371,coinbase,uniswap
2021-01-22 00:00:00.000,14,14,95408.846731097,77.928406369,coinbase,uniswap
2021-01-22 00:00:00.000,6,6,51598.612800633,42.243876476,coinbase,sushiswap
2021-01-23 00:00:00.000,15,15,95414.597612099,76.558212176,coinbase,uniswap
2021-01-23 00:00:00.000,12,12,94755.947710448,76.161128032,coinbase,sushiswap
2021-01-24 00:00:00.000,9,9,92421.382742797,69.860829498,coinbase,sushiswap
2021-01-24 00:00:00.000,30,30,232260.866883108,179.131523491,coinbase,uniswap
2021-01-24 00:00:00.000,1,1,7405.499656209,5.645576517,coinbase,0x
2021-01-25 00:00:00.000,5,5,49575.074304716,35.25092505,coinbase,sushiswap
2021-01-25 00:00:00.000,28,28,251078.455515862,178.402008249,coinbase,uniswap
2021-01-26 00:00:00.000,1,1,8775.802968567,6.528122271,coinbase,0x
2021-01-26 00:00:00.000,11,11,100855.846571708,75.636576416,coinbase,sushiswap
2021-01-26 00:00:00.000,25,25,179549.647632515,134.385166202,coinbase,uniswap
2021-01-27 00:00:00.000,11,11,79168.846317767,61.046554755,coinbase,sushiswap
2021-01-27 00:00:00.000,3,3,22347.34766177,17.469383236,coinbase,0x
2021-01-27 00:00:00.000,23,23,151965.785512343,116.656371527,coinbase,uniswap
2021-01-28 00:00:00.000,2,2,14372.470947558,11.095216289,coinbase,sushiswap
2021-01-28 00:00:00.000,12,12,68023.056969041,52.311223378,coinbase,uniswap
2021-01-29 00:00:00.000,8,8,66338.492774961,48.796047124,coinbase,uniswap
2021-01-29 00:00:00.000,8,8,68966.558381059,50.92916471,coinbase,sushiswap
2021-01-30 00:00:00.000,12,12,99289.548146552,72.160498807,coinbase,sushiswap
2021-01-30 00:00:00.000,1,1,6201.208054523,4.516461213,coinbase,0x
2021-01-30 00:00:00.000,18,18,126254.468361526,91.983737608,coinbase,uniswap
2021-01-31 00:00:00.000,5,5,47933.759047328,35.487295101,coinbase,sushiswap
2021-01-31 00:00:00.000,33,33,225967.489735717,169.070612272,coinbase,uniswap
2021-02-01 00:00:00.000,28,28,218366.336661542,165.78336182,coinbase,uniswap
2021-02-02 00:00:00.000,21,21,197873.607125722,138.542638556,coinbase,uniswap
