DATE,USER --> DEX,USER --> CEX,Net User,Amount --> DEX,Amount --> CEX,Net Amount ETH,Amount $ --> DEX,Amount $ --> CEX,Net Amount $
2021-01-01 00:00:00.000,-1,2,1,-13.599629614,14.248830791,0.6492011771,-10005.694672513,10483.705772019,478.011099506
2021-01-02 00:00:00.000,-2,2,0,-37.360884179,23.64685212,-13.714032058,-27996.672755397,17517.570430823,-10479.102324574
2021-01-03 00:00:00.000,-2,5,3,-18.9,17.804562559,-1.095437441,-15606.54520175,14385.689979293,-1220.855222457
2021-01-05 00:00:00.000,-4,5,1,-51.31999946,45.409197267,-5.910802193,-54791.550359294,48785.429809123,-6006.120550172
2021-01-06 00:00:00.000,-5,7,2,-58.093472899,41.737637277,-16.355835621,-66770.164511047,47707.200325644,-19062.964185403
2021-01-07 00:00:00.000,-3,4,1,-70.424397091,72.952840552,2.528443462,-86184.35176681,89604.195122863,3419.843356053
2021-01-08 00:00:00.000,-3,5,2,-107.306831555,110.198644487,2.891812932,-128977.663544951,132498.420911141,3520.75736619
2021-01-09 00:00:00.000,-3,5,2,-84.52438441,85.632911357,1.108526946,-102771.560602049,104235.346041247,1463.785439198
2021-01-10 00:00:00.000,-3,5,2,-71.873106116,73.289920428,1.416814311,-94798.084755253,96738.518336142,1940.433580889
2021-01-11 00:00:00.000,-6,6,0,-45.359010419,39.37318751,-5.985822909,-53087.08879183,46412.165330126,-6674.923461704
2021-01-12 00:00:00.000,-1,5,4,-150.805688639,163.668300427,12.862611789,-162816.800193259,177118.571425288,14301.771232029
2021-01-13 00:00:00.000,-3,3,0,-23.689797183,21.150937775,-2.538859408,-25271.776756794,22532.646909288,-2739.129847506
2021-01-14 00:00:00.000,-3,4,1,-113.732176344,88.380337964,-25.35183838,-132965.080905296,103311.843515907,-29653.237389389
2021-01-15 00:00:00.000,-4,6,2,-89.953827958,96.885879715,6.932051758,-106959.702012238,115215.123018304,8255.421006067
2021-01-16 00:00:00.000,-3,5,2,-129.162031201,100.512651319,-28.649379881,-156353.06632809,121155.398494851,-35197.667833238
2021-01-17 00:00:00.000,-3,6,3,-119.169237975,127.38757287,8.218334895,-146767.901141089,157021.839456902,10253.938315814
2021-01-18 00:00:00.000,-5,8,3,-150.345087772,161.650228104,11.305140332,-184597.275772927,198520.720436115,13923.444663188
2021-01-19 00:00:00.000,-4,4,0,-86.512722374,99.912936761,13.400214387,-111740.242847933,126763.4804527,15023.237604767
2021-01-20 00:00:00.000,-3,8,5,-129.123905415,145.074564032,15.950658618,-173682.267960696,195276.541091456,21594.27313076
2021-01-21 00:00:00.000,-5,7,2,-123.048410253,133.955051308,10.906641055,-155707.04553945,170754.563921647,15047.518382197
2021-01-22 00:00:00.000,-2,3,1,-122.171742649,120.172282845,-1.999459805,-149471.695476941,147007.45953173,-2464.235945211
2021-01-23 00:00:00.000,-3,7,4,-142.9451477,152.719340208,9.774192508,-178024.0753859,190170.545322547,12146.469936647
2021-01-24 00:00:00.000,-4,8,4,-240.747943214,254.637929506,13.889986292,-314143.923961946,332087.749282115,17943.825320169
2021-01-25 00:00:00.000,-5,7,2,-202.909156686,213.652933299,10.743776613,-285734.32945847,300653.529820578,14919.200362108
2021-01-26 00:00:00.000,-2,7,5,-204.819295788,216.549864889,11.730569101,-273460.552342885,289181.29717279,15720.744829905
2021-01-27 00:00:00.000,-6,7,1,-186.286630001,195.172309517,8.885679516,-242987.146312832,253481.97949188,10494.833179048
2021-01-28 00:00:00.000,-1,3,2,-68.380736808,63.406439667,-4.974297141,-88829.066434625,82395.527916599,-6433.538518026
2021-01-29 00:00:00.000,-4,7,3,-101.213137597,99.725211834,-1.487925762,-137109.844782187,135305.05115602,-1804.793626167
2021-01-30 00:00:00.000,-3,7,4,-165.307652821,168.660697628,3.353044807,-227126.703376709,231745.224562601,4618.521185891
2021-01-31 00:00:00.000,-4,7,3,-207.051478663,204.557907373,-2.493571291,-277163.307810637,273901.248783045,-3262.059027592
2021-02-01 00:00:00.000,-2,5,3,-158.454933972,165.78336182,7.328427848,-208702.251582292,218366.336661542,9664.08507925
2021-02-02 00:00:00.000,-2,7,5,-147.68981751,160.641761171,12.951943661,-209808.480814635,227571.199299624,17762.718484989
2021-02-03 00:00:00.000,-12,13,1,-282.126719197,276.352582298,-5.774136898,-441829.784093002,432423.186774076,-9406.597318926
2021-02-04 00:00:00.000,-1,4,3,-96.332532646,100.009108325,3.676575679,-158594.715636013,164780.108769778,6185.393133765
2021-02-05 00:00:00.000,-4,6,2,-174.893892119,183.241284668,8.34739255,-291883.620484579,305549.492869861,13665.872385282
2021-02-06 00:00:00.000,-2,5,3,-114.074527774,125.300071669,11.225543895,-192618.470392995,211522.438858859,18903.968465864
2021-02-07 00:00:00.000,-4,6,2,-144.892377239,146.921208848,2.02883161,-230063.645131246,233307.810772511,3244.165641265
2021-02-08 00:00:00.000,-2,5,3,-91.674429549,98.91401205,7.2395825,-148836.246444419,161475.720712972,12639.474268553
2021-02-09 00:00:00.000,-5,7,2,-224.47840258,233.185774819,8.707372239,-393147.197933417,408478.016757678,15330.818824261
2021-02-10 00:00:00.000,-2,6,4,-91.521777697,104.649761523,13.127983826,-162897.525257973,186667.197636307,23769.672378334
2021-02-11 00:00:00.000,-2,5,3,-197.791958394,198.190631285,0.3986728918,-345810.709054925,346532.63975258,721.930697655
2021-02-12 00:00:00.000,-4,4,0,-255.219622202,255.125729294,-0.09389290785,-460863.449894544,461122.820436014,259.370541469
2021-02-13 00:00:00.000,-3,8,5,-304.628750274,318.118228787,13.489478513,-562008.908431074,587002.120021648,24993.211590574
2021-02-14 00:00:00.000,-3,8,5,-220.164409756,236.852940196,16.68853044,-400780.726597371,431225.231946904,30444.505349533
2021-02-15 00:00:00.000,-5,6,1,-209.741500064,216.675880656,6.934380592,-375462.188543618,387973.706343246,12511.517799628
2021-02-16 00:00:00.000,-3,4,1,-158.276372325,155.923316894,-2.353055431,-280877.785361059,276857.188844125,-4020.596516934
2021-02-17 00:00:00.000,-4,7,3,-238.843988811,257.413935891,18.569947081,-428411.102305214,461542.876196263,33131.773891049
