DATE,WETH_Price,Gold_Price,WETH/Gold
2021/1/1,738.3662748,1887.6,0.391166706
2021/1/2,743.8751687,1906.133333,0.390253481
2021/1/3,845.0306854,1924.666667,0.439053006
2021/1/4,1052.504918,1943.2,0.54163489
2021/1/5,1051.404121,1940.4,0.541849166
2021/1/6,1132.84113,1932,0.586356693
2021/1/7,1226.267988,1920.1,0.638647981
2021/1/8,1204.466992,1862.9,0.64655483
2021/1/9,1219.782936,1857.7,0.656609214
2021/1/10,1327.152301,1852.5,0.716411499
2021/1/11,1110.03161,1847.3,0.600894067
2021/1/12,1086.314767,1841.3,0.589971633
2021/1/13,1062.310337,1858.9,0.571472557
2021/1/14,1159.327251,1841.8,0.629453389
2021/1/15,1201.538805,1839,0.65336531
2021/1/16,1208.744395,1837.033333,0.657987187
2021/1/17,1226.149951,1835.066667,0.668177333
2021/1/18,1225.69034,1833.1,0.668643467
2021/1/19,1328.883562,1834.7,0.724305642
2021/1/20,1344.909106,1856.6,0.724393572
2021/1/21,1267.398599,1862.1,0.680628645
2021/1/22,1183.550964,1852.7,0.638824939
2021/1/23,1243.957513,1854.1,0.670922557
2021/1/24,1313.477007,1855.5,0.707883054
2021/1/25,1398.747006,1856.9,0.753269969
2021/1/26,1334.257425,1856.6,0.718656375
2021/1/27,1290.581263,1843,0.70026113
2021/1/28,1302.000208,1853.7,0.702379138
2021/1/29,1347.571716,1863.8,0.723023777
2021/1/30,1373.845687,1863.533333,0.737226248
2021/1/31,1345.391567,1863.266667,0.722060664
2021/2/1,1318.102943,1863,0.707516341
2021/2/2,1432.014629,1833.1,0.781198314
2021/2/3,1567.798459,1835.5,0.854153342
2021/2/4,1634.93185,1785.9,0.915466627
2021/2/5,1671.058782,1803,0.926821288
2021/2/6,1688.241738,1813.766667,0.930793232
2021/2/7,1605.020254,1824.533333,0.879688096
2021/2/8,1660.303005,1835.3,0.904649379
2021/2/9,1747.784557,1839.6,0.950089453
2021/2/10,1778.960392,1842.7,0.965409666
2021/2/11,1753.753951,1840.1,0.95307535
2021/2/12,1793.016228,1816.4,0.987126309
2021/2/13,1849.875555,1816.7,1.018261438
2021/2/14,1823.920503,1817,1.003808752
2021/2/15,1777.639325,1817.3,0.978176044
2021/2/16,1783.459053,1794.3,0.993958119
2021/2/17,1797.69348,1780.7,1.009543146
2021/2/18,1908.260023,1773.2,1.076167394
2021/2/19,1923.724081,1786.2,1.076992543
2021/2/20,1993.801376,1793.3,1.111805819
2021/2/21,1947.444948,1800.4,1.081673488
2021/2/22,1816.29244,1807.5,1.00486442
2021/2/23,1540.142033,1799.7,0.855777092
2021/2/24,1633.327822,1788,0.913494308
2021/2/25,1610.962958,1779.7,0.905187929
2021/2/26,1483.518023,1742.9,0.851177935
2021/2/27,1497.128575,1740,0.860418721
2021/2/28,1396.334163,1737.1,0.803830616
2021/3/1,1479.236957,1734.2,0.852979447
2021/3/2,1550.04289,1723.9,0.899148959
2021/3/3,1567.916298,1711.4,0.916160043
2021/3/4,1587.652522,1712.1,0.927312962
2021/3/5,1488.273419,1696.3,0.87736451
2021/3/6,1570.024326,1693.233333,0.927234478
2021/3/7,1666.145953,1690.166667,0.985787962
2021/3/8,1725.462364,1687.1,1.022738643
2021/3/9,1835.207949,1716.9,1.068907886
2021/3/10,1823.999598,1716.2,1.062812958
2021/3/11,1791.202265,1724.3,1.038799667
2021/3/12,1781.673549,1704.8,1.045092415
2021/3/13,1840.080108,1711.1,1.075378475
2021/3/14,1886.006467,1717.4,1.09817542
2021/3/15,1813.063776,1723.7,1.051844158
2021/3/16,1774.886886,1735,1.02298956
2021/3/17,1800.429567,1729.7,1.040891234
2021/3/18,1815.828863,1725.9,1.052105489
2021/3/19,1806.851047,1735.2,1.041292673
2021/3/20,1841.440716,1735.533333,1.061022961
2021/3/21,1792.913614,1735.866667,1.032863669
2021/3/22,1776.60292,1736.2,1.02327089
2021/3/23,1694.806511,1726.2,0.981813527
2021/3/24,1701.118991,1730.5,0.983021665
2021/3/25,1695.577106,1737.3,0.975984059
2021/3/26,1596.640985,1731.8,0.921954605
2021/3/27,1631.580266,1723.2,0.946831631
2021/3/28,1631.580266,1714.6,0.951580699
2021/3/29,1688.396247,1706,0.98968127
2021/3/30,1723.113186,1684,1.023226357
2021/3/31,1855.114144,1691.1,1.096986662
2021/4/1,1947.274409,1726.1,1.128135339
2021/4/2,2024.195584,1726.1,1.172698907
2021/4/3,2091.498358,1726.1,1.211690144
2021/4/4,2064.78612,1726.1,1.196214657
2021/4/5,2036.480838,1726.1,1.179816255
2021/4/6,2080.095472,1744.7,1.192236758
2021/4/7,2029.484329,1738.1,1.167645319
2021/4/8,2030.22667,1755.5,1.156494828
2021/4/9,2077.195388,1741.2,1.192967717
2021/4/10,2134.56898,1738.433333,1.227869334
