DATE,WETH_Price,Gold_Price
2021/1/1,738.3662748,"1,887.60"
2021/1/2,743.8751687,
2021/1/3,845.0306854,
2021/1/4,1052.504918,"1,943.20"
2021/1/5,1051.404121,"1,940.40"
2021/1/6,1132.84113,"1,932.00"
2021/1/7,1226.267988,"1,920.10"
2021/1/8,1204.466992,"1,862.90"
2021/1/9,1219.782936,
2021/1/10,1327.152301,
2021/1/11,1110.03161,"1,847.30"
2021/1/12,1086.314767,"1,841.30"
2021/1/13,1062.310337,"1,858.90"
2021/1/14,1159.327251,"1,841.80"
2021/1/15,1201.538805,"1,839.00"
2021/1/16,1208.744395,
2021/1/17,1226.149951,
2021/1/18,1225.69034,"1,833.10"
2021/1/19,1328.883562,"1,834.70"
2021/1/20,1344.909106,"1,856.60"
2021/1/21,1267.398599,"1,862.10"
2021/1/22,1183.550964,"1,852.70"
2021/1/23,1243.957513,
2021/1/24,1313.477007,
2021/1/25,1398.747006,"1,856.90"
2021/1/26,1334.257425,"1,856.60"
2021/1/27,1290.581263,"1,843.00"
2021/1/28,1302.000208,"1,853.70"
2021/1/29,1347.571716,"1,863.80"
2021/1/30,1373.845687,
2021/1/31,1345.391567,
2021/2/1,1318.102943,"1,863.00"
2021/2/2,1432.014629,"1,833.10"
2021/2/3,1567.798459,"1,835.50"
2021/2/4,1634.93185,"1,785.90"
2021/2/5,1671.058782,"1,803.00"
2021/2/6,1688.241738,
2021/2/7,1605.020254,
2021/2/8,1660.303005,"1,835.30"
2021/2/9,1747.784557,"1,839.60"
2021/2/10,1778.960392,"1,842.70"
2021/2/11,1753.753951,"1,840.10"
2021/2/12,1793.016228,"1,816.40"
2021/2/13,1849.875555,
2021/2/14,1823.920503,
2021/2/15,1777.639325,"1,817.30"
2021/2/16,1783.459053,"1,794.30"
2021/2/17,1797.69348,"1,780.70"
2021/2/18,1908.260023,"1,773.20"
2021/2/19,1923.724081,"1,786.20"
2021/2/20,1993.801376,
2021/2/21,1947.444948,
2021/2/22,1816.29244,"1,807.50"
2021/2/23,1540.142033,"1,799.70"
2021/2/24,1633.327822,"1,788.00"
2021/2/25,1610.962958,"1,779.70"
2021/2/26,1483.518023,"1,742.90"
2021/2/27,1497.128575,
2021/2/28,1396.334163,
2021/3/1,1479.236957,"1,734.20"
2021/3/2,1550.04289,"1,723.90"
2021/3/3,1567.916298,"1,711.40"
2021/3/4,1587.652522,"1,712.10"
2021/3/5,1488.273419,"1,696.30"
2021/3/6,1570.024326,
2021/3/7,1666.145953,
2021/3/8,1725.462364,"1,687.10"
2021/3/9,1835.207949,"1,716.90"
2021/3/10,1823.999598,"1,716.20"
2021/3/11,1791.202265,"1,724.30"
2021/3/12,1781.673549,"1,704.80"
2021/3/13,1840.080108,
2021/3/14,1886.006467,
2021/3/15,1813.063776,"1,723.70"
2021/3/16,1774.886886,"1,735.00"
2021/3/17,1800.429567,"1,729.70"
2021/3/18,1815.828863,"1,725.90"
2021/3/19,1806.851047,"1,735.20"
2021/3/20,1841.440716,
2021/3/21,1792.913614,
2021/3/22,1776.60292,"1,736.20"
2021/3/23,1694.806511,"1,726.20"
2021/3/24,1701.118991,"1,730.50"
2021/3/25,1695.577106,"1,737.30"
2021/3/26,1596.640985,"1,731.80"
2021/3/27,1631.580266,
2021/3/28,1631.580266,
2021/3/29,1688.396247,"1,706.00"
2021/3/30,1723.113186,"1,684.00"
2021/3/31,1855.114144,"1,691.10"
2021/4/1,1947.274409,"1,726.10"
2021/4/2,2024.195584,"1,726.10"
2021/4/3,2091.498358,
2021/4/4,2064.78612,
2021/4/5,2036.480838,"1,726.10"
2021/4/6,2080.095472,"1,744.70"
2021/4/7,2029.484329,"1,738.10"
2021/4/8,2030.22667,"1,755.50"
2021/4/9,2077.195388,"1,741.20"
2021/4/10,2134.56898,
2021/4/11,2143.564124,
2021/4/12,2156.229812,"1,732.90"
2021/4/13,2214.637561,"1,748.00"
2021/4/14,2338.439256,"1,735.60"
2021/4/15,2459.645472,"1,757.20"
2021/4/16,2444.356484,"1,774.50"
2021/4/17,2431.895829,
2021/4/18,2218.2643,
2021/4/19,2207.97618,"1,774.50"
2021/4/20,2173.459336,"1,777.90"
2021/4/21,2360.91207,"1,798.20"
2021/4/22,2496.896339,"1,787.80"
2021/4/23,2284.509825,"1,781.80"
2021/4/24,2286.203246,
2021/4/25,2263.418274,
2021/4/26,2456.613075,"1,773.40"
2021/4/27,2574.359833,"1,784.20"
