Date,Gold_price
2021/1/1,1.89E+03
2021/1/4,1.94E+03
2021/1/5,1.94E+03
2021/1/6,1.93E+03
2021/1/7,1.92E+03
2021/1/8,1.86E+03
2021/1/11,1.85E+03
2021/1/12,1.84E+03
2021/1/13,1.86E+03
2021/1/14,1.84E+03
2021/1/15,1.84E+03
2021/1/18,1.83E+03
2021/1/19,1.83E+03
2021/1/20,1.86E+03
2021/1/21,1.86E+03
2021/1/22,1.85E+03
2021/1/25,1.86E+03
2021/1/26,1.86E+03
2021/1/27,1.84E+03
2021/1/28,1.85E+03
2021/1/29,1.86E+03
2021/2/1,1.86E+03
2021/2/2,1.83E+03
2021/2/3,1.84E+03
2021/2/4,1.79E+03
2021/2/5,1.80E+03
2021/2/8,1.84E+03
2021/2/9,1.84E+03
2021/2/10,1.84E+03
2021/2/11,1.84E+03
2021/2/12,1.82E+03
2021/2/15,1.82E+03
2021/2/16,1.79E+03
2021/2/17,1.78E+03
2021/2/18,1.77E+03
2021/2/19,1.79E+03
2021/2/22,1.81E+03
2021/2/23,1.80E+03
2021/2/24,1.79E+03
2021/2/25,1.78E+03
2021/2/26,1.74E+03
2021/3/1,1.73E+03
2021/3/2,1.72E+03
2021/3/3,1.71E+03
2021/3/4,1.71E+03
2021/3/5,1.70E+03
2021/3/8,1.69E+03
2021/3/9,1.72E+03
2021/3/10,1.72E+03
2021/3/11,1.72E+03
2021/3/12,1.70E+03
2021/3/15,1.72E+03
2021/3/16,1.74E+03
2021/3/17,1.73E+03
2021/3/18,1.73E+03
2021/3/19,1.74E+03
2021/3/22,1.74E+03
2021/3/23,1.73E+03
2021/3/24,1.73E+03
2021/3/25,1.74E+03
2021/3/26,1.73E+03
2021/3/29,1.71E+03
2021/3/30,1.68E+03
2021/3/31,1.69E+03
2021/4/1,1.73E+03
2021/4/2,1.73E+03
2021/4/5,1.73E+03
2021/4/6,1.74E+03
2021/4/7,1.74E+03
2021/4/8,1.76E+03
2021/4/9,1.74E+03
2021/4/12,1.73E+03
2021/4/13,1.75E+03
2021/4/14,1.74E+03
2021/4/15,1.76E+03
2021/4/16,1.77E+03
2021/4/19,1.77E+03
2021/4/20,1.78E+03
2021/4/21,1.80E+03
2021/4/22,1.79E+03
2021/4/23,1.78E+03
2021/4/26,1.77E+03
2021/4/27,1.78E+03
2021/4/28,1.77E+03
2021/4/29,1.76E+03
2021/4/30,1.77E+03
2021/5/3,1.77E+03
2021/5/4,1.80E+03
2021/5/5,1.78E+03
2021/5/6,1.81E+03
2021/5/7,1.84E+03
2021/5/10,1.84E+03
2021/5/11,1.83E+03
2021/5/12,1.83E+03
2021/5/13,1.82E+03
2021/5/14,1.84E+03
2021/5/17,1.85E+03
2021/5/18,1.87E+03
2021/5/19,1.89E+03
2021/5/20,1.88E+03
2021/5/21,1.88E+03
2021/5/24,1.88E+03
2021/5/25,1.89E+03
2021/5/26,1.90E+03
2021/5/27,1.89E+03
2021/5/28,1.90E+03
2021/5/31,1.90E+03
2021/6/1,1.90E+03
2021/6/2,1.90E+03
2021/6/3,1.87E+03
2021/6/4,1.89E+03
2021/6/7,1.89E+03
2021/6/8,1.89E+03
2021/6/9,1.89E+03
2021/6/10,1.89E+03
2021/6/11,1.88E+03
2021/6/14,1.87E+03
2021/6/15,1.87E+03
2021/6/16,1.86E+03
2021/6/17,1.78E+03
2021/6/18,1.77E+03
2021/6/21,1.78E+03
2021/6/22,1.78E+03
2021/6/23,1.79E+03
2021/6/24,1.78E+03
2021/6/25,1.79E+03
2021/6/28,1.78E+03
2021/6/29,1.76E+03
2021/6/30,1.76E+03
2021/7/1,1.78E+03
2021/7/2,1.79E+03
2021/7/5,1.79E+03
2021/7/6,1.81E+03
2021/7/7,1.80E+03
2021/7/8,1.81E+03
2021/7/9,1.81E+03
2021/7/12,1.79E+03
2021/7/13,1.81E+03
2021/7/14,1.82E+03
2021/7/15,1.82E+03
2021/7/16,1.82E+03
2021/7/19,1.81E+03
2021/7/20,1.82E+03
2021/7/21,1.80E+03
2021/7/22,1.80E+03
2021/7/23,1.80E+03
2021/7/26,1.80E+03
2021/7/27,1.80E+03
2021/7/28,1.80E+03
2021/7/29,1.83E+03
2021/7/30,1.83E+03
2021/8/2,1.81E+03
2021/8/3,1.81E+03
2021/8/4,1.83E+03
2021/8/5,1.80E+03
2021/8/6,1.76E+03
2021/8/9,1.74E+03
2021/8/10,1.72E+03
2021/8/11,1.74E+03
2021/8/12,1.75E+03
2021/8/13,1.77E+03
2021/8/16,1.79E+03
2021/8/17,1.79E+03
2021/8/18,1.78E+03
2021/8/19,1.78E+03
2021/8/20,1.78E+03
2021/8/23,1.80E+03
2021/8/24,1.81E+03
2021/8/25,1.79E+03
2021/8/26,1.79E+03
2021/8/27,1.80E+03
2021/8/30,1.80E+03
2021/8/31,1.81E+03
2021/9/1,1.81E+03
2021/9/2,1.81E+03
2021/9/3,1.82E+03
2021/9/6,1.82E+03
2021/9/7,1.80E+03
2021/9/8,1.79E+03
2021/9/9,1.79E+03
2021/9/10,1.79E+03
2021/9/13,1.79E+03
2021/9/14,1.79E+03
2021/9/15,1.80E+03
2021/9/16,1.75E+03
2021/9/17,1.76E+03
2021/9/20,1.76E+03
2021/9/21,1.77E+03
2021/9/22,1.77E+03
2021/9/23,1.75E+03
2021/9/24,1.75E+03
2021/9/27,1.76E+03
2021/9/28,1.73E+03
2021/9/29,1.74E+03
2021/9/30,1.74E+03
2021/10/1,1.76E+03
2021/10/4,1.75E+03
2021/10/5,1.75E+03
2021/10/6,1.76E+03
2021/10/7,1.76E+03
2021/10/8,1.77E+03
2021/10/11,1.76E+03
2021/10/12,1.77E+03
2021/10/13,1.79E+03
2021/10/14,1.80E+03
2021/10/15,1.77E+03
2021/10/18,1.77E+03
2021/10/19,1.78E+03
2021/10/20,1.78E+03
2021/10/21,1.78E+03
2021/10/22,1.81E+03
2021/10/25,1.81E+03
2021/10/26,1.79E+03
2021/10/27,1.80E+03
2021/10/28,1.80E+03
2021/10/29,1.77E+03
2021/11/1,1.79E+03
2021/11/2,1.79E+03
2021/11/3,1.76E+03
2021/11/4,1.80E+03
2021/11/5,1.80E+03
2021/11/8,1.82E+03
2021/11/9,1.83E+03
2021/11/10,1.86E+03
2021/11/11,1.86E+03
2021/11/12,1.86E+03
2021/11/15,1.86E+03
2021/11/16,1.86E+03
2021/11/17,1.86E+03
2021/11/18,1.86E+03
2021/11/19,1.86E+03
2021/11/22,1.82E+03
2021/11/23,1.79E+03
2021/11/24,1.78E+03
2021/11/25,1.79E+03
2021/11/26,1.80E+03
2021/11/29,1.79E+03
2021/11/30,1.80E+03
2021/12/1,1.79E+03
2021/12/2,1.77E+03
2021/12/3,1.77E+03
