DATE,TOTAL_USD_VOLUME_cex,TOTAL_USD_VOLUME_dex
2021/1/1,60879.02178,366864599.6
2021/1/2,110740.1602,865338428.9
2021/1/3,71594.89225,653093017.1
2021/1/4,204267.1169,491989137.0
2021/1/5,182221.905,559638493.2
2021/1/6,235022.3209,509312052.8
2021/1/7,491097.6895,522526112.8
2021/1/8,640978.7116,704557712.8
2021/1/9,659364.6997,912676603.9
2021/1/10,694115.2471,708570165.8
2021/1/11,233886.3918,927303262.9
2021/1/12,513718.7091,1279721001.0
2021/1/13,228046.9355,695346062.6
2021/1/14,526654.4531,1226474900.0
2021/1/15,452172.8725,1113177201.0
2021/1/16,561730.9684,1350992258.0
2021/1/17,548551.9073,696122354.7
2021/1/18,735071.3005,696183225.2
2021/1/19,605035.1629,1588238535.0
2021/1/20,559731.3367,873754444.3
2021/1/21,569429.6574,1199578655.0
2021/1/22,364469.3729,1235189578.0
2021/1/23,605921.4774,1756912000.0
2021/1/24,782353.5137,1311886679.0
2021/1/25,649146.0338,1805685245.0
2021/1/26,497088.6533,1677439589.0
2021/1/27,615856.0938,1435935206.0
2021/1/28,340810.3134,1816102073.0
2021/1/29,445712.6555,1292635767.0
2021/1/30,756752.5107,1353153369.0
2021/1/31,645634.3855,1819506463.0
2021/2/1,625422.5383,1084241574.0
2021/2/2,454579.9493,2015102881.0
2021/2/3,1190876.346,550909557.3
2021/2/4,545367.2468,4538052979.0
2021/2/5,835326.4496,2411005039.0
2021/2/6,576418.1599,3377144327.0
2021/2/7,616029.2764,2142937894.0
2021/2/8,648937.4538,2242107593.0
2021/2/9,972559.2425,1507813105.0
2021/2/10,792895.2491,1332779178.0
2021/2/11,1058325.853,1319745408.0
2021/2/12,1231587.287,2426291349.0
2021/2/13,1247110.23,2121732130.0
2021/2/14,1065830.256,2637479823.0
2021/2/15,1077715.666,2380265840.0
2021/2/16,960509.1531,3155394692.0
2021/2/17,1492080.658,2758850121.0
2021/2/18,1060814.062,2990839480.0
2021/2/19,965188.027,2064774037.0
2021/2/20,1576520.263,3397830531.0
2021/2/21,2739656.169,1724050461.0
2021/2/22,1968063.958,4044921682.0
2021/2/23,2359189.729,3232079009.0
2021/2/24,1342563.77,2813778179.0
2021/2/25,1759590.569,2431572190.0
2021/2/26,703851.5403,2204660933.0
