DATE,TOTAL_USD_VOLUME_sum
2021/1/1,366925478.62178004
2021/1/2,865449169.0602
2021/1/3,653164611.99225
2021/1/4,492193404.1169
2021/1/5,559820715.105
2021/1/6,509547075.12090003
2021/1/7,523017210.4895
2021/1/8,705198691.5115999
2021/1/9,913335968.5997
2021/1/10,709264281.0471
2021/1/11,927537149.2918
2021/1/12,1280234719.7091
2021/1/13,695574109.5355
2021/1/14,1227001554.4531
2021/1/15,1113629373.8725
2021/1/16,1351553988.9684
2021/1/17,696670906.6073
2021/1/18,696918296.5005001
2021/1/19,1588843570.1629
2021/1/20,874314175.6366999
2021/1/21,1200148084.6574
2021/1/22,1235554047.3729
2021/1/23,1757517921.4774
2021/1/24,1312669032.5137
2021/1/25,1806334391.0338
2021/1/26,1677936677.6533
2021/1/27,1436551062.0938
2021/1/28,1816442883.3134
2021/1/29,1293081479.6555
2021/1/30,1353910121.5107
2021/1/31,1820152097.3855
2021/2/1,1084866996.5383
2021/2/2,2015557460.9493
2021/2/3,552100433.6459999
2021/2/4,4538598346.2468
2021/2/5,2411840365.4496
2021/2/6,3377720745.1599
2021/2/7,2143553923.2764
2021/2/8,2242756530.4538
2021/2/9,1508785664.2425
2021/2/10,1333572073.2491
2021/2/11,1320803733.853
2021/2/12,2427522936.287
2021/2/13,2122979240.23
2021/2/14,2638545653.256
2021/2/15,2381343555.666
2021/2/16,3156355201.1531
2021/2/17,2760342201.658
2021/2/18,2991900294.062
2021/2/19,2065739225.027
2021/2/20,3399407051.263
2021/2/21,1726790117.169
2021/2/22,4046889745.958
2021/2/23,3234438198.729
2021/2/24,2815120742.77
2021/2/25,2433331780.569
2021/2/26,2205364784.5403
2021/2/27,2000153099.9818
2021/2/28,3217229177.3887
2021/3/1,2485028620.076
2021/3/2,1199709526.924
2021/3/3,564431368.31
2021/3/4,746774827.5239
2021/3/5,1779680009.27
2021/3/6,1321237876.418
2021/3/7,1413316291.312
2021/3/8,998328865.0619999
2021/3/9,884991553.4740001
2021/3/10,891700259.3225
2021/3/11,1643522135.167
2021/3/12,1199802475.2376
2021/3/13,1615230391.5518
2021/3/14,615245362.7299999
2021/3/15,1119673782.835
2021/3/16,1859335982.623
2021/3/17,1925423675.2768
2021/3/18,1418988499.073
2021/3/19,1572172835.02
2021/3/20,648168848.3790001
2021/3/21,903152499.9039999
2021/3/22,994835300.667
2021/3/23,2040694146.886
2021/3/24,1229938350.12
2021/3/25,1780116756.937
2021/3/26,1034264705.242
2021/3/27,960276723.7
2021/3/28,1004725968.578
2021/3/29,4232167160.263
2021/3/30,12518834727.916
2021/3/31,8084500998.6636
2021/4/1,2587446263.653
2021/4/2,4763805364.983
2021/4/3,2975471301.798
2021/4/4,1804911155.41
2021/4/5,4226867593.009
2021/4/6,5074715334.59
2021/4/7,22841387625.905
2021/4/8,1976051479.398
2021/4/9,1289383275.4491
2021/4/10,3808587793.2946
2021/4/11,1136969753.877
2021/4/12,1651928681.8628
2021/4/13,3160201181.804
2021/4/14,2595002865.479
2021/4/15,1790454547.1365
2021/4/16,2517479574.688
2021/4/17,1741543126.543
2021/4/18,2500045325.845
2021/4/19,1501440485.4026
2021/4/20,1833196221.613
2021/4/21,1487437812.587
2021/4/22,2455405225.0079
2021/4/23,2744456551.5991
2021/4/24,1393443097.8771
2021/4/25,3368579483.0752
2021/4/26,4632193178.1437
2021/4/27,3811684213.46
2021/4/28,4169856119.1034
2021/4/29,2766575145.4388
2021/4/30,3563288197.065
2021/5/1,4708136184.87
2021/5/2,2220732943.709
2021/5/3,3728319250.738
2021/5/4,5872587234.6
2021/5/5,2889199633.1484
2021/5/6,6360164776.937
2021/5/7,7597206371.441
2021/5/8,29808021932.632
2021/5/9,7149473449.286
2021/5/10,5277843027.546
2021/5/11,5932549589.494
2021/5/12,4795324780.391
2021/5/13,7355991733.531
2021/5/14,2745901475.926
2021/5/15,3986413956.5669
2021/5/16,4045872036.485
2021/5/17,6636758896.3676
2021/5/18,2564324317.25
2021/5/19,8105693911.741
2021/5/20,4201540282.44
2021/5/21,3918640352.122
2021/5/22,2468791551.097
2021/5/23,5150482800.81
2021/5/24,6584580517.3519
2021/5/25,7068614034.7034
2021/5/26,5379377039.7414
2021/5/27,4727372664.434
2021/5/28,6811150569.228
2021/5/29,6492824200.23
2021/5/30,6694285504.412
2021/5/31,5114309732.344
2021/6/1,4498169556.275
2021/6/2,3991639461.97
2021/6/3,3627862968.297
2021/6/4,5482494580.337
2021/6/5,5403665307.285
2021/6/6,4620546116.6411
2021/6/7,5691531534.941
2021/6/8,5919863254.9694
2021/6/9,4841418613.848
2021/6/10,5067595557.416
2021/6/11,4506361235.5716
2021/6/12,4326804437.51
2021/6/13,4126043553.84
2021/6/14,3157083320.425
2021/6/15,3920997323.9455
2021/6/16,3913695841.8285
2021/6/17,5908449228.475
2021/6/18,8017436130.3626
2021/6/19,4053467018.8424
2021/6/20,3898526210.4757
2021/6/21,5083536089.3114
2021/6/22,4562443437.2441
2021/6/23,3164744671.6923
2021/6/24,3677222238.61
2021/6/25,3722700790.364
2021/6/26,4139952779.39
2021/6/27,2900893156.7991
2021/6/28,4494145477.6596
2021/6/29,2314513726.9794
2021/6/30,2980070811.681
2021/7/1,4001677983.0171
2021/7/2,1908515737.0536
2021/7/3,1503616201.7356
2021/7/4,2909742299.8553
2021/7/5,2897037547.9952
2021/7/6,2674607759.954
2021/7/7,2055355460.1131
2021/7/8,2654453825.7116
2021/7/9,2910395361.6556
2021/7/10,2563285977.39708
2021/7/11,1185401989.5265
2021/7/12,2147662015.8968
2021/7/13,3568557935.96
2021/7/14,3086491048.933
2021/7/15,2526866422.3597
2021/7/16,2381373621.70324
2021/7/17,2485819569.32752
2021/7/18,2781315729.531
2021/7/19,2332391768.1637
2021/7/20,3524771254.42516
2021/7/21,3420567643.6807
2021/7/22,1842180584.5761
2021/7/23,1995341136.3538
2021/7/24,1444697431.9179
2021/7/25,1576696486.3344
2021/7/26,3461649571.998
2021/7/27,1538780606.6052
2021/7/28,1934936654.906
2021/7/29,1200726125.2239
2021/7/30,1996416456.052
2021/7/31,2395711827.2585
2021/8/1,2045148671.5575
2021/8/2,2263619980.4697
2021/8/3,2630118785.048
2021/8/4,2447266034.838
2021/8/5,2131700333.158
2021/8/6,1641072425.962
2021/8/7,1914630060.915
2021/8/8,2281737904.202
2021/8/9,2248387953.09
2021/8/10,1439142470.598
2021/8/11,1693934229.0167
2021/8/12,2363775868.113
2021/8/13,1398544121.541
2021/8/14,1820922445.719
2021/8/15,1192795992.324
2021/8/16,1348538922.934
2021/8/17,2017056535.883
2021/8/18,2480157639.91
2021/8/19,3314211076.627
2021/8/20,2100346281.422
2021/8/21,2637773586.634
2021/8/22,2884963085.47
2021/8/23,3773478140.946
2021/8/24,4069213158.059
2021/8/25,3371817301.5566
2021/8/26,3610873529.611
2021/8/27,3242961397.806
2021/8/28,2806073681.061
2021/8/29,3073842364.508
2021/8/30,3409853129.357
2021/8/31,3411634022.001
2021/9/1,2558248729.676
2021/9/2,3762454835.7375
2021/9/3,3155551733.744
2021/9/4,1418997778.3152
2021/9/5,1684510976.373
2021/9/6,1604740069.97
2021/9/7,4226638143.016
2021/9/8,2614632802.415
2021/9/9,1823784444.311
2021/9/10,2252299080.29
2021/9/11,1787031649.063
2021/9/12,2160262498.553
2021/9/13,2165280422.333
2021/9/14,2182958804.113
2021/9/15,1348501718.0217
2021/9/16,1474167523.164
2021/9/17,1657121217.419
2021/9/18,1438935166.147
2021/9/19,1052207720.668
2021/9/20,4413694946.34
2021/9/21,3777220741.466
2021/9/22,3458232943.543
2021/9/23,1364224471.2436
2021/9/24,2759214681.1742
2021/9/25,1923677387.7379
2021/9/26,1902806193.356
2021/9/27,2627096622.452
2021/9/28,1837962619.9438
2021/9/29,1747383702.351
2021/9/30,3142998106.4973
2021/10/1,1708829659.669
2021/10/2,962899561.8636999
2021/10/3,1562143864.4683
2021/10/4,1406709638.441
2021/10/5,1119293165.101
2021/10/6,2583077629.254
2021/10/7,3016333337.1
2021/10/8,2145861366.679
2021/10/9,1246281068.044
2021/10/10,1825656223.155
2021/10/11,1543262809.25
2021/10/12,2040277942.074
2021/10/13,1609927620.71
2021/10/14,1554546781.056
2021/10/15,2186493271.389
2021/10/16,1739789955.232
2021/10/17,1303370989.353
2021/10/18,1689058238.84
2021/10/19,1624180419.09
2021/10/20,2210915779.721
2021/10/21,3098560530.071
2021/10/22,1657008657.0944
2021/10/23,1484531039.233
2021/10/24,1750863235.586
2021/10/25,1770806497.13
2021/10/26,2286534906.1248
2021/10/27,3002480255.415
2021/10/28,2712733557.35
2021/10/29,2610600060.74
2021/10/30,2259030583.096
2021/10/31,2326324816.646
2021/11/1,1842038150.807
2021/11/2,2123962585.313
2021/11/3,2091376317.618
2021/11/4,1937258013.47
2021/11/5,1818501513.273
2021/11/6,1606141073.3345
2021/11/7,1589906871.845
2021/11/8,1923956739.585
2021/11/9,2055172839.38
2021/11/10,3155957864.581
2021/11/11,2910338112.4773
2021/11/12,2466651654.911
2021/11/13,1548172815.9977
2021/11/14,1721745585.3801
2021/11/15,1905204072.1058
2021/11/16,2779402700.563
2021/11/17,2212446716.32
2021/11/18,2835437488.571
2021/11/19,1642430282.427
2021/11/20,1612623893.7001
2021/11/21,1833148871.864
2021/11/22,2283833387.861
2021/11/23,2204577553.872
2021/11/24,2391993828.2831
2021/11/25,2116122006.253
2021/11/26,3140306106.884
2021/11/27,1860564894.1225
2021/11/28,2032782583.372
2021/11/29,1902309681.84
2021/11/30,2847669932.0031
2021/12/1,2206515336.606
