AuthorID,Author,Date,Content,Attachments,Reactions,
7.25281E+17,Announcement#9762,2021-09-01T21:01:33.5530000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-01T23:19:07.2070000-04:00,Joined the server.,,,
1.59986E+17,MEE6#4876,2021-09-02T04:25:34.9890000-04:00,Joined the server.,,,
1.59986E+17,MEE6#4876,2021-09-02T05:48:19.5740000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-02T05:49:31.5310000-04:00,,,,
6.62233E+17,lenelle,2021-09-02T05:59:15.5370000-04:00,zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz zzzzz,,,
2.35089E+17,Rythm#3722,2021-09-02T06:00:37.0740000-04:00,Joined the server.,,,
6.62233E+17,lenelle,2021-09-02T06:05:19.4880000-04:00,!summon,,,
2.35089E+17,Rythm#3722,2021-09-02T06:05:19.5920000-04:00,:x2: **You have to be in a voice channel to use this command.**,,,
1.59986E+17,MEE6#4876,2021-09-02T06:05:19.8050000-04:00,"GG @Lenelle, you just advanced to level 1!",,,
4.56227E+17,Deleted User,2021-09-02T06:11:10.9850000-04:00,Joined the server.,,,
6.62233E+17,lenelle,2021-09-02T06:24:19.4760000-04:00,asd,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:27:31.4290000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-02T06:33:07.6520000-04:00,Joined the server.,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:41:14.0720000-04:00,Set the verification method to image.,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:41:32.4510000-04:00,You already have a pending Captcha for another server. Please complete that Captcha and then you can request a new Captcha by re-running `/verify`. Or you can run `/reset` to invalidate the captcha,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:42:44.0140000-04:00,,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:42:44.1530000-04:00,I have sent you a captcha. Check your DMs!,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:43:06.9460000-04:00,,,,
7.06431E+17,jasminezzz9151,2021-09-02T06:43:26.7880000-04:00,Joined the server.,,,
5.12334E+17,Captcha.bot#3928,2021-09-02T06:43:27.7220000-04:00,,,,
