AuthorID,Author,Date,Content,Attachments,Reactions,,,,,,
9.65646E+17,Bibi,2022-09-10T00:00:17.6840000-04:00,You can report scammers in #🚨┃report-scams,,,,,,,,
9.02764E+17,realjassia,2022-09-10T02:01:58.9230000-04:00,It already done. If you are KYC verified You can claim your BAB by paying a small fee in to your wallet,,,,,,,,
1.00633E+18,james568872,2022-09-10T02:21:51.5880000-04:00,Hello mates,,,,,,,,
1.0025E+18,bliss4128,2022-09-10T02:35:14.7650000-04:00,Srsly?,,,,,,,,
1.00633E+18,james568872,2022-09-10T02:48:05.2110000-04:00,I don't think so,,,,,,,,
1.0025E+18,bliss4128,2022-09-10T02:48:54.6870000-04:00,Same here,,,,,,,,
1.00633E+18,james568872,2022-09-10T03:00:45.4950000-04:00,What coin are you on?,,,,,,,,
1.0025E+18,bliss4128,2022-09-10T03:01:45.1350000-04:00,Bitcoin and you?,,,,,,,,
1.00633E+18,james568872,2022-09-10T03:12:25.6470000-04:00,Btc and Eth,,,,,,,,
1.00633E+18,james568872,2022-09-10T03:12:42.1820000-04:00,And a little bit of shibs,,,,,,,,
1.0025E+18,bliss4128,2022-09-10T03:12:48.5430000-04:00,Nice,,,,,,,,
1.00633E+18,james568872,2022-09-10T03:12:57.4270000-04:00,Do you just hold?,,,,,,,,
1.0025E+18,bliss4128,2022-09-10T03:13:01.2830000-04:00,Can i inbox?,,,,,,,,
1.00633E+18,james568872,2022-09-10T03:33:52.2730000-04:00,Sure,,,,,,,,
9.65646E+17,Bibi,2022-09-10T04:00:19.2470000-04:00,You can report scammers in #🚨┃report-scams,,,,,,,,
9.65646E+17,Bibi,2022-09-10T04:00:19.3830000-04:00,If you need help or you have an inquiry please ask your question in the #🆘┃community-help channel,,,,,,,,
9.39461E+17,fornext,2022-09-10T04:04:47.6990000-04:00,where can i find the defi wallet in Binance app?,,,,,,,,
9.39461E+17,fornext,2022-09-10T04:07:00.5280000-04:00,"BinanceDeFiWallet? anybody knows�?,"",""
510275477102133258""",.bigpurr,2022-09-10T04:32:45.5680000-04:00,Already done,,,,,
7.543E+17,saltytabel,2022-09-10T04:56:09.2610000-04:00,hi,,,,,,,,
7.543E+17,saltytabel,2022-09-10T04:56:38.0610000-04:00,how do we get that,,,,,,,,
7.543E+17,saltytabel,2022-09-10T05:19:01.8040000-04:00,how,,,,,,,,
1.00633E+18,james568872,2022-09-10T05:34:41.5030000-04:00,Ask the moderators,,❤️ (2),,,,,,
9.26868E+17,palak4538,2022-09-10T06:27:35.1690000-04:00,Hii,,,,,,,,
1.00633E+18,james568872,2022-09-10T06:32:30.1140000-04:00,@Palak hi mate,,,,,,,,
1.00633E+18,james568872,2022-09-10T06:32:36.5800000-04:00,How are you doing?,,,,,,,,
8.615E+17,aqibsahib,2022-09-10T06:40:36.2650000-04:00,"Here you go > please read this > **Binance to Launch Binance Account Bound (BAB) Token, the First-Ever Soulbound Token on BNB Chain**
<https://www.binance.com/en/support/announcement/0fe1e7c8781844e29f56cb674231dfd7>",,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T06:59:00.2550000-04:00,oh have you guys just slashed the stablecoin rewards up to 2000$ from 10% down to 8%?,,,,,,,,
2.48134E+17,.kazaki,2022-09-10T07:11:03.6230000-04:00,Yea it was 😦 I was just about to ask this�?kinda worrying to be honest,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:16:06.1610000-04:00,I was really hoping that its going to stay at 10%... grml.. crypto.com has slashed heavily as well in the last few month,,,,,,,,
8.64844E+17,raj77270,2022-09-10T07:19:30.6680000-04:00,Hello,,,,,,,,
8.64844E+17,raj77270,2022-09-10T07:19:52.3200000-04:00,Anyone tell me how to get role 🤔,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:23:28.8650000-04:00,I think it's the job of the admin to do so,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:23:54.9130000-04:00,Ohh you use crypto. Com?,,,,,,,,
8.64844E+17,raj77270,2022-09-10T07:24:33.6610000-04:00,@Palak @Palak @james56 hmm,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:25:45.8380000-04:00,"Why hmm I said so because that's the truth, I don't think anyone can help with that only admin or moderators",,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:25:52.7000000-04:00,"not very much anymore.. I used it a lot more before, but I moved a lot to binance for some nice yields",,,,,,,,
8.64844E+17,raj77270,2022-09-10T07:26:44.2640000-04:00,@james56 okk bro 😊,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:28:20.7050000-04:00,Yeah true .. do you hold on binance or you just trade?,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:29:40.5550000-04:00,"everything I have on binance is subscribed to a locked staking, fixed savings or flex savings.. I do not ""trade""...",,,,,,,,
1.00633E+18,james568872,2022-09-10T07:31:59.2960000-04:00,Ok.. but I think trading is better than holding,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:33:05.0180000-04:00,you do whatever you think 😉 I think timing the market is impossible and time in the market will beat it,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:33:35.6710000-04:00,Yeah true.. so how long have you been holding?,,,,,,,,
5.14779E+17,khayr2228,2022-09-10T07:35:52.0800000-04:00,Why BUSD savings down to 8% ? Time to look for alternatives it seems,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:36:16.2360000-04:00,just realised that as well. It must have happened last night,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:36:21.3210000-04:00,You want to swap?,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:36:23.0130000-04:00,"2016, you?",,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:38:08.8970000-04:00,any good idea for stablecoin rewards?,,,,,,,,
1.00633E+18,james568872,2022-09-10T07:39:57.6920000-04:00,I trade my coins I've been in crypto space for 2 years but started trading proper few months ago,,,,,,,,
9.34872E+17,flightlevel450.747,2022-09-10T07:59:44.2540000-04:00,"nice, ok, good luck for the future",,,,,,,,
1.00633E+18,james568872,2022-09-10T08:00:16.0020000-04:00,Yeah same,,,,,,,,
9.65646E+17,Bibi,2022-09-10T08:00:18.8680000-04:00,You can report scammers in #🚨┃report-scams,,,,,,,,
9.65646E+17,Bibi,2022-09-10T08:00:35.5180000-04:00,,,,,,,,,
4.56227E+17,Deleted User,2022-09-10T08:27:44.3680000-04:00,"@joaoafpedro, could you make it so when you close a trade you can share the % you gained like when it’s still open?",,,,,,,,
9.52014E+17,Bibi#4458,2022-09-10T08:32:46.3020000-04:00,,,,,,,,,
7.543E+17,saltytabel,2022-09-10T08:35:27.5140000-04:00,how can i earn from binance,,,,,,,,
4.69773E+17,blonded6160,2022-09-10T08:50:25.1790000-04:00,@AScore yo sup,,,,,,,,
4.69773E+17,blonded6160,2022-09-10T08:50:59.3310000-04:00,When will the binance blockchan week ticket come?,,,,,,,,
9.92899E+17,bit_guru,2022-09-10T09:17:28.1220000-04:00,"NFTs, Future, P2P etc... Possibilities are endless",,,,,,,,
9.35779E+17,onlyonepapi,2022-09-10T09:42:26.0350000-04:00,"Have you used the binance earn product ? Great way to start earning 

https://www.binance.com/en/earn",,,,,,,,
4.69773E+17,blonded6160,2022-09-10T09:43:12.1070000-04:00,@Phoenix #1886,,,,,,,,
9.59598E+17,atik56,2022-09-10T11:32:37.7770000-04:00,🫣,,,,,,,,
9.65646E+17,Bibi,2022-09-10T12:00:19.3380000-04:00,You can report scammers in #🚨┃report-scams,,,,,,,,
9.65646E+17,Bibi,2022-09-10T12:00:21.7090000-04:00,If you need help or you have an inquiry please ask your question in the #🆘┃community-help channel,,,,,,,,
8.25974E+17,alexon0604,2022-09-10T12:25:47.7160000-04:00,Where to learn more about staking. The % is seems higher then other platforms. What are is the risk?,,,,,,,,
1.00633E+18,james568872,2022-09-10T12:37:44.0260000-04:00,Yeah mate,,,,,,,,
8.25974E+17,alexon0604,2022-09-10T12:38:07.6880000-04:00,?,,,,,,,,
1.00633E+18,james568872,2022-09-10T12:42:25.7870000-04:00,"Just know that in everything profitable there are risk involved but less..
So I don't think I have any idea of any platform",,,,,,,,
1.00633E+18,james568872,2022-09-10T12:42:51.8300000-04:00,Do you trade or hold?,,,,,,,,
8.25974E+17,alexon0604,2022-09-10T12:43:04.3710000-04:00,Hold,,,,,,,,
8.25974E+17,alexon0604,2022-09-10T12:44:53.6900000-04:00,6% for eth it seems amazing. But trying to find out where it comes from that  Binance can offer such a % or 9% for matic,,,,,,,,
1.00633E+18,james568872,2022-09-10T12:45:59.7240000-04:00,Don't you think it's more profitable in trading than holding?,,,,,,,,
8.25974E+17,alexon0604,2022-09-10T12:46:21.2620000-04:00,Works both ways,,,,,,,,
1.00633E+18,james568872,2022-09-10T12:47:10.3020000-04:00,Yeah,,,,,,,,
