Date,Sentiment_Score,Label
2022/10/15,0.0392,neutral
2022/10/16,0.0095,neutral
2022/10/17,0.0133,neutral
2022/10/18,0.2458,positive
2022/10/19,0.0112,neutral
2022/10/20,0.0466,neutral
2022/10/21,-0.0228,neutral
2022/10/22,-0.0151,neutral
2022/10/23,-0.0665,neutral
2022/10/24,0.0473,neutral
2022/10/25,-0.0443,neutral
2022/10/26,-0.0264,neutral
2022/10/27,-0.071,neutral
2022/10/28,-0.0188,neutral
2022/10/29,0.0301,neutral
2022/10/30,0.0196,neutral
2022/10/31,0.0413,neutral
2022/11/1,0.0188,neutral
2022/11/2,0.0272,neutral
2022/11/3,0.1448,positive
2022/11/4,0.1957,positive
2022/11/5,0.0751,neutral
2022/11/6,0.0828,neutral
2022/11/7,0.0735,neutral
2022/11/8,0.0219,neutral
2022/11/9,-0.0528,neutral
2022/11/10,0.0255,neutral
2022/11/11,0.0462,neutral
2022/11/12,0.0436,neutral
2022/11/13,0.0032,neutral
2022/11/14,0.1047,positive
2022/11/15,0.0934,neutral
2022/11/16,0.1294,positive
2022/11/17,0.156,positive
2022/11/18,-0.0166,neutral
2022/11/19,0.1633,positive
2022/11/20,0.1541,positive
2022/11/21,0.1123,positive
2022/11/22,-0.0086,neutral
2022/11/23,0.0678,neutral
2022/11/24,0.1189,positive
2022/11/25,0.22,positive
2022/11/26,0.2753,positive
2022/11/27,0.1329,positive
2022/11/28,0.1096,positive
2022/11/29,0.1503,positive
2022/11/30,0.0659,neutral
2022/12/1,0.098,neutral
2022/12/2,0.0982,neutral
2022/12/3,0.1805,positive
2022/12/4,0.0037,neutral
2022/12/5,0.1924,positive
2022/12/6,0.0402,neutral
2022/12/7,-0.0349,neutral
2022/12/8,0.1167,positive
2022/12/9,0.3254,positive
2022/12/10,0.3073,positive
2022/12/11,0.3687,positive
2022/12/12,0.2126,positive
2022/12/13,0.1565,positive
2022/12/14,0.2196,positive
2022/12/15,0.508,positive
2022/12/16,0.3106,positive
2022/12/17,0.3178,positive
2022/12/18,0.3039,positive
2022/12/19,0.1321,positive
2022/12/20,0.2568,positive
2022/12/21,0.1659,positive
2022/12/22,0.208,positive
2022/12/23,0.2281,positive
2022/12/24,0.1991,positive
2022/12/25,0.2433,positive
2022/12/26,0.1893,positive
2022/12/27,0.1599,positive
2022/12/28,0.1657,positive
2022/12/29,0.1394,positive
2022/12/30,0.1305,positive
2022/12/31,0.0809,neutral
2023/1/1,0.2158,positive
2023/1/2,0.1255,positive
2023/1/3,0.0365,neutral
2023/1/4,0.0495,neutral
2023/1/5,0.106,positive
2023/1/6,0.1108,positive
2023/1/7,0.2387,positive
2023/1/8,0.0619,neutral
2023/1/9,0.0934,neutral
2023/1/10,0.0084,neutral
2023/1/11,0.1011,positive
2023/1/12,0.0984,neutral
2023/1/13,0.1468,positive
2023/1/14,0.1228,positive
2023/1/15,0.1345,positive
2023/1/16,0.1275,positive
2023/1/17,0.1411,positive
2023/1/18,0.2358,positive
2023/1/19,0.2401,positive
2023/1/20,0.1522,positive
2023/1/21,0.0086,neutral
2023/1/22,0.0563,neutral
2023/1/23,0.1557,positive
2023/1/24,0.098,neutral
2023/1/25,0.091,neutral
2023/1/26,0.069,neutral
2023/1/27,0.0921,neutral
2023/1/28,0.0159,neutral
2023/1/29,-0.0167,neutral
2023/1/30,0.1838,positive
2023/1/31,0.1675,positive
2023/2/1,0.0727,neutral
2023/2/2,0.1314,positive
2023/2/3,0.1827,positive
2023/2/4,0.2346,positive
2023/2/5,0.0234,neutral
2023/2/6,0.1841,positive
2023/2/7,0.0185,neutral
2023/2/8,0.0411,neutral
2023/2/9,0.0278,neutral
2023/2/10,0.0452,neutral
2023/2/11,-0.0288,neutral
2023/2/12,0.0935,neutral
2023/2/13,0.0034,neutral
2023/2/14,0.0899,neutral
2023/2/15,0.0676,neutral
2023/2/16,0.1104,positive
2023/2/17,0.1071,positive
2023/2/18,0.0688,neutral
2023/2/19,0.0696,neutral
2023/2/20,0.0959,neutral
2023/2/21,0.0477,neutral
2023/2/22,0.0226,neutral
2023/2/23,0.0682,neutral
2023/2/24,0.1657,positive
2023/2/25,-0.062,neutral
2023/2/26,0.0037,neutral
2023/2/27,0.1274,positive
2023/2/28,0.0523,neutral
2023/3/1,0.3112,positive
2023/3/2,0.1468,positive
2023/3/3,0.2968,positive
2023/3/4,0.0947,neutral
2023/3/5,0.0695,neutral
2023/3/6,0.1981,positive
2023/3/7,0.0951,neutral
2023/3/8,0.1399,positive
2023/3/9,0.092,neutral
2023/3/10,0.1024,positive
2023/3/11,-0.0109,neutral
2023/3/12,0.0907,neutral
2023/3/13,-0.0679,neutral
2023/3/14,-0.0644,neutral
2023/3/15,0.0549,neutral
2023/3/16,0.0004,neutral
2023/3/17,0.067,neutral
2023/3/18,-0.0028,neutral
2023/3/19,0.1282,positive
2023/3/20,0.0164,neutral
2023/3/21,0.1811,positive
2023/3/22,0.1041,positive
2023/3/23,0.0367,neutral
2023/3/24,0.0054,neutral
2023/3/25,0.2615,positive
2023/3/26,0.0952,neutral
2023/3/27,0.0781,neutral
2023/3/28,0.0352,neutral
2023/3/29,0.0742,neutral
2023/3/30,0.0615,neutral
2023/3/31,0.1214,positive
