Date,Sentiment_Score,Label
2021/9/22,0.199,positive
2021/9/23,-0.1406,negative
2021/9/24,-0.0971,neutral
2021/9/25,-0.1561,negative
2021/9/26,-0.1937,negative
2021/9/27,-0.2722,negative
2021/9/28,-0.1168,negative
2021/9/29,-0.1354,negative
2021/9/30,-0.2423,negative
2021/10/1,0.1424,positive
2021/10/2,-0.2644,negative
2021/10/3,-0.1453,negative
2021/10/4,-0.2431,negative
2021/10/5,-0.0381,neutral
2021/10/6,-0.2906,negative
2021/10/7,-0.2906,negative
2021/10/8,0.0081,neutral
2021/10/9,-0.1228,negative
2021/10/10,0.2479,positive
2021/10/11,0.1153,positive
2021/10/12,0.2834,positive
2021/10/13,-0.0568,neutral
2021/10/14,-0.1068,negative
2021/10/15,0.0586,neutral
2021/10/16,-0.1593,negative
2021/10/17,0.0555,neutral
2021/10/18,0.2794,positive
2021/10/19,-0.184,negative
2021/10/20,0.0668,neutral
2021/10/21,-0.1868,negative
2021/10/22,0.2106,positive
2021/10/23,0.123,positive
2021/10/24,0.0719,neutral
2021/10/25,0.1063,positive
2021/10/26,0.1661,positive
2021/10/27,0.2747,positive
2021/10/28,0.1127,positive
2021/10/29,0.0663,neutral
2021/10/30,0.0843,neutral
2021/10/31,0.1981,positive
2021/11/1,-0.004,neutral
2021/11/2,0.0802,neutral
2021/11/3,0.022,neutral
2021/11/4,0.1974,positive
2021/11/5,0.0867,neutral
2021/11/6,0.0748,neutral
2021/11/7,0.0182,neutral
2021/11/8,-0.0217,neutral
2021/11/9,-0.0405,neutral
2021/11/10,0.1649,positive
2021/11/11,-0.0194,neutral
2021/11/12,-0.02,neutral
2021/11/13,-0.0518,neutral
2021/11/14,0.0049,neutral
2021/11/15,0.0083,neutral
2021/11/16,-0.0564,neutral
2021/11/17,-0.0269,neutral
2021/11/18,-0.0835,neutral
2021/11/19,0.0083,neutral
2021/11/20,-0.0271,neutral
2021/11/21,-0.1973,negative
2021/11/22,0.0266,neutral
2021/11/23,0.0074,neutral
2021/11/24,-0.0127,neutral
2021/11/25,0.0765,neutral
2021/11/26,-0.0072,neutral
2021/11/27,-0.0026,neutral
2021/11/28,0.0519,neutral
2021/11/29,-0.0312,neutral
2021/11/30,-0.0187,neutral
2021/12/1,0.0629,neutral
2021/12/2,0.075,neutral
2021/12/3,0.0127,neutral
2021/12/4,-0.0802,neutral
2021/12/5,-0.0481,neutral
2021/12/6,-0.0751,neutral
2021/12/7,0.0078,neutral
2021/12/8,-0.0008,neutral
2021/12/9,0.0052,neutral
2021/12/10,0.0502,neutral
2021/12/11,0.0015,neutral
2021/12/12,0.0139,neutral
2021/12/13,0.0263,neutral
2021/12/14,0.0405,neutral
2021/12/15,0.0553,neutral
2021/12/16,0.0613,neutral
2021/12/17,-0.0151,neutral
2021/12/18,-0.0287,neutral
2021/12/19,0.0673,neutral
2021/12/20,0.0332,neutral
2021/12/21,-0.0786,neutral
2021/12/22,0.0674,neutral
2021/12/23,0.0658,neutral
2021/12/24,0.0023,neutral
2021/12/25,-0.0992,neutral
2021/12/26,-0.054,neutral
2021/12/27,-0.0106,neutral
2021/12/28,0.0536,neutral
2021/12/29,0.0071,neutral
2021/12/30,0.0669,neutral
2021/12/31,-0.0278,neutral
2022/1/1,-0.0435,neutral
2022/1/2,-0.0762,neutral
2022/1/3,,
2022/1/4,,
2022/1/5,,
2022/1/6,,
2022/1/7,,
2022/1/8,,
2022/1/9,,
2022/1/10,,
2022/1/11,,
2022/1/12,,
2022/1/13,,
2022/1/14,,
2022/1/15,,
2022/1/16,,
2022/1/17,,
2022/1/18,,
2022/1/19,,
2022/1/20,,
2022/1/21,,
2022/1/22,,
2022/1/23,,
2022/1/24,,
2022/1/25,,
2022/1/26,,
2022/1/27,,
2022/1/28,,
2022/1/29,,
2022/1/30,,
2022/1/31,,
2022/2/1,,
2022/2/2,,
2022/2/3,,
2022/2/4,,
2022/2/5,,
2022/2/6,,
2022/2/7,,
2022/2/8,,
2022/2/9,,
2022/2/10,,
2022/2/11,,
2022/2/12,,
2022/2/13,,
2022/2/14,,
2022/2/15,,
2022/2/16,,
2022/2/17,,
2022/2/18,,
2022/2/19,,
2022/2/20,,
2022/2/21,,
2022/2/22,,
2022/2/23,,
2022/2/24,,
2022/2/25,,
2022/2/26,,
2022/2/27,,
2022/2/28,,
2022/3/1,,
2022/3/2,,
2022/3/3,,
2022/3/4,,
2022/3/5,,
2022/3/6,,
2022/3/7,,
2022/3/8,,
2022/3/9,,
2022/3/10,,
2022/3/11,,
2022/3/12,,
2022/3/13,,
2022/3/14,,
2022/3/15,,
2022/3/16,,
2022/3/17,,
2022/3/18,,
2022/3/19,,
2022/3/20,,
2022/3/21,,
2022/3/22,,
2022/3/23,,
2022/3/24,,
2022/3/25,,
2022/3/26,,
2022/3/27,,
2022/3/28,,
2022/3/29,,
2022/3/30,,
2022/3/31,,
2022/4/1,,
2022/4/2,,
2022/4/3,,
2022/4/4,,
2022/4/5,,
2022/4/6,,
2022/4/7,,
2022/4/8,,
2022/4/9,,
2022/4/10,,
2022/4/11,,
2022/4/12,,
2022/4/13,,
2022/4/14,,
2022/4/15,,
2022/4/16,,
2022/4/17,,
2022/4/18,,
2022/4/19,,
2022/4/20,,
2022/4/21,,
2022/4/22,,
2022/4/23,,
2022/4/24,,
2022/4/25,,
2022/4/26,,
2022/4/27,,
2022/4/28,,
2022/4/29,,
2022/4/30,,
2022/5/1,,
2022/5/2,,
2022/5/3,,
2022/5/4,,
2022/5/5,,
2022/5/6,,
2022/5/7,,
2022/5/8,,
2022/5/9,,
2022/5/10,,
2022/5/11,,
2022/5/12,,
2022/5/13,,
2022/5/14,,
2022/5/15,,
2022/5/16,,
2022/5/17,,
2022/5/18,,
2022/5/19,,
2022/5/20,,
2022/5/21,,
2022/5/22,,
2022/5/23,,
2022/5/24,,
2022/5/25,,
2022/5/26,,
2022/5/27,,
2022/5/28,,
2022/5/29,,
2022/5/30,,
2022/5/31,,
2022/6/1,,
2022/6/2,,
2022/6/3,,
2022/6/4,,
2022/6/5,,
2022/6/6,,
2022/6/7,,
2022/6/8,,
2022/6/9,,
2022/6/10,,
2022/6/11,,
2022/6/12,,
2022/6/13,,
2022/6/14,,
2022/6/15,,
2022/6/16,,
2022/6/17,,
2022/6/18,,
2022/6/19,,
2022/6/20,,
2022/6/21,,
2022/6/22,,
2022/6/23,,
2022/6/24,,
2022/6/25,,
2022/6/26,,
2022/6/27,,
2022/6/28,,
2022/6/29,,
2022/6/30,,
2022/7/1,,
2022/7/2,,
2022/7/3,,
2022/7/4,,
2022/7/5,,
2022/7/6,,
2022/7/7,,
2022/7/8,,
2022/7/9,,
2022/7/10,,
2022/7/11,,
2022/7/12,,
2022/7/13,,
2022/7/14,,
2022/7/15,,
2022/7/16,,
2022/7/17,,
2022/7/18,,
2022/7/19,,
2022/7/20,,
2022/7/21,,
2022/7/22,,
2022/7/23,,
2022/7/24,,
2022/7/25,,
2022/7/26,,
2022/7/27,,
2022/7/28,,
2022/7/29,,
2022/7/30,,
2022/7/31,,
2022/8/1,,
2022/8/2,,
2022/8/3,,
2022/8/4,,
2022/8/5,,
2022/8/6,,
2022/8/7,,
2022/8/8,,
2022/8/9,,
2022/8/10,,
2022/8/11,,
2022/8/12,,
2022/8/13,,
2022/8/14,,
2022/8/15,,
2022/8/16,,
2022/8/17,,
2022/8/18,,
2022/8/19,,
2022/8/20,,
2022/8/21,,
2022/8/22,,
2022/8/23,,
2022/8/24,,
2022/8/25,,
2022/8/26,,
