Date,Sentiment_Score,Label
2021/7/24,-0.2269,negative
2021/7/25,-0.0618,neutral
2021/7/26,-0.2361,negative
2021/7/27,-0.112,negative
2021/7/28,-0.005,neutral
2021/7/29,-0.2079,negative
2021/7/30,-0.1564,negative
2021/7/31,-0.1509,negative
2021/8/1,-0.0818,neutral
2021/8/2,0.0263,neutral
2021/8/3,-0.1252,negative
2021/8/4,-0.011,neutral
2021/8/5,-0.0583,neutral
2021/8/6,-0.0722,neutral
2021/8/7,-0.1384,negative
2021/8/8,-0.0797,neutral
2021/8/9,-0.2005,negative
2021/8/10,-0.0885,neutral
2021/8/11,-0.1063,negative
2021/8/12,-0.1096,negative
2021/8/13,-0.1195,negative
2021/8/14,-0.083,neutral
2021/8/15,-0.0579,neutral
2021/8/16,-0.0153,neutral
2021/8/17,-0.0188,neutral
2021/8/18,0.0382,neutral
2021/8/19,-0.1265,negative
2021/8/20,-0.0032,neutral
2021/8/21,-0.2607,negative
2021/8/22,-0.1483,negative
2021/8/23,-0.1023,negative
2021/8/24,-0.0926,neutral
2021/8/25,-0.1145,negative
2021/8/26,-0.0327,neutral
2021/8/27,0.0414,neutral
2021/8/28,-0.132,negative
2021/8/29,-0.0466,neutral
2021/8/30,-0.15,negative
2021/8/31,-0.1235,negative
2021/9/1,-0.104,negative
2021/9/2,-0.0915,neutral
2021/9/3,-0.1218,negative
2021/9/4,-0.1048,negative
2021/9/5,-0.0284,neutral
2021/9/6,-0.0235,neutral
2021/9/7,-0.0709,neutral
2021/9/8,-0.1103,negative
2021/9/9,-0.1163,negative
2021/9/10,-0.0526,neutral
2021/9/11,-0.173,negative
2021/9/12,-0.1193,negative
2021/9/13,-0.1026,negative
2021/9/14,-0.0919,neutral
2021/9/15,-0.1275,negative
2021/9/16,0.0233,neutral
2021/9/17,-0.0996,neutral
2021/9/18,-0.1127,negative
2021/9/19,-0.1229,negative
2021/9/20,-0.0165,neutral
2021/9/21,-0.0655,neutral
2021/9/22,-0.1534,negative
2021/9/23,-0.1102,negative
2021/9/24,-0.036,neutral
2021/9/25,-0.121,negative
2021/9/26,-0.0425,neutral
2021/9/27,-0.1202,negative
2021/9/28,-0.0028,neutral
2021/9/29,-0.1206,negative
2021/9/30,-0.1888,negative
2021/10/1,-0.1264,negative
2021/10/2,-0.1298,negative
2021/10/3,-0.0941,neutral
2021/10/4,-0.0714,neutral
2021/10/5,-0.0478,neutral
2021/10/6,-0.0552,neutral
2021/10/7,-0.096,neutral
2021/10/8,-0.0547,neutral
2021/10/9,-0.1622,negative
2021/10/10,-0.1564,negative
2021/10/11,-0.1703,negative
2021/10/12,-0.1242,negative
2021/10/13,-0.1128,negative
2021/10/14,-0.2196,negative
2021/10/15,-0.008,neutral
2021/10/16,-0.0256,neutral
2021/10/17,-0.2028,negative
2021/10/18,-0.0661,neutral
2021/10/19,-0.1459,negative
2021/10/20,-0.0888,neutral
2021/10/21,-0.1063,negative
2021/10/22,-0.0928,neutral
2021/10/23,-0.1765,negative
2021/10/24,-0.1359,negative
2021/10/25,-0.1604,negative
2021/10/26,-0.1347,negative
2021/10/27,-0.1258,negative
2021/10/28,-0.1722,negative
2021/10/29,-0.1489,negative
2021/10/30,-0.2043,negative
2021/10/31,-0.1729,negative
2021/11/1,-0.2051,negative
2021/11/2,-0.1566,negative
2021/11/3,-0.1353,negative
2021/11/4,-0.2107,negative
2021/11/5,-0.1656,negative
2021/11/6,-0.1252,negative
2021/11/7,-0.1374,negative
2021/11/8,-0.1887,negative
2021/11/9,-0.2167,negative
2021/11/10,-0.1263,negative
2021/11/11,-0.1237,negative
2021/11/12,-0.1674,negative
2021/11/13,-0.2132,negative
2021/11/14,-0.1946,negative
2021/11/15,-0.1843,negative
2021/11/16,-0.1921,negative
2021/11/17,-0.0976,neutral
2021/11/18,-0.203,negative
2021/11/19,-0.1893,negative
2021/11/20,-0.1697,negative
2021/11/21,-0.1284,negative
2021/11/22,-0.1928,negative
2021/11/23,-0.124,negative
2021/11/24,-0.0506,neutral
2021/11/25,-0.1259,negative
2021/11/26,-0.0549,neutral
2021/11/27,-0.1695,negative
2021/11/28,-0.1512,negative
2021/11/29,-0.1521,negative
2021/11/30,-0.105,negative
2021/12/1,-0.1271,negative
2021/12/2,-0.1284,negative
2021/12/3,-0.1364,negative
2021/12/4,-0.0652,neutral
2021/12/5,-0.2884,negative
2021/12/6,-0.1178,negative
2021/12/7,-0.0699,neutral
2021/12/8,-0.0799,neutral
2021/12/9,-0.1081,negative
2021/12/10,-0.075,neutral
2021/12/11,-0.1072,negative
2021/12/12,-0.1449,negative
2021/12/13,-0.2252,negative
2021/12/14,-0.1617,negative
2021/12/15,-0.0922,neutral
2021/12/16,-0.1241,negative
2021/12/17,-0.2093,negative
2021/12/18,-0.1639,negative
2021/12/19,-0.1038,negative
2021/12/20,-0.1141,negative
2021/12/21,-0.0969,neutral
2021/12/22,-0.1483,negative
2021/12/23,-0.0702,neutral
2021/12/24,-0.1871,negative
2021/12/25,-0.1557,negative
2021/12/26,-0.1585,negative
2021/12/27,-0.1462,negative
2021/12/28,-0.133,negative
2021/12/29,-0.065,neutral
2021/12/30,-0.1609,negative
2021/12/31,-0.0733,neutral
2022/1/1,-0.1118,negative
2022/1/2,-0.227,negative
2022/1/3,-0.2089,negative
2022/1/4,-0.2007,negative
2022/1/5,-0.0464,neutral
2022/1/6,-0.083,neutral
2022/1/7,-0.1492,negative
2022/1/8,-0.1179,negative
2022/1/9,-0.2389,negative
2022/1/10,-0.134,negative
2022/1/11,-0.114,negative
2022/1/12,-0.0566,neutral
2022/1/13,-0.0585,neutral
2022/1/14,-0.1168,negative
2022/1/15,-0.1082,negative
2022/1/16,-0.1507,negative
2022/1/17,-0.1144,negative
2022/1/18,-0.0358,neutral
2022/1/19,-0.13,negative
2022/1/20,-0.0494,neutral
2022/1/21,-0.1385,negative
2022/1/22,-0.0808,neutral
2022/1/23,-0.1103,negative
2022/1/24,-0.1464,negative
2022/1/25,-0.074,neutral
2022/1/26,0.0002,neutral
2022/1/27,-0.0041,neutral
2022/1/28,-0.0879,neutral
2022/1/29,-0.1363,negative
2022/1/30,-0.1444,negative
2022/1/31,-0.0266,neutral
2022/2/1,0.048,neutral
2022/2/2,,
2022/2/3,,
2022/2/4,,
2022/2/5,,
2022/2/6,,
2022/2/7,,
2022/2/8,,
2022/2/9,,
2022/2/10,,
2022/2/11,,
2022/2/12,,
2022/2/13,,
2022/2/14,,
2022/2/15,,
2022/2/16,,
2022/2/17,,
2022/2/18,,
2022/2/19,,
2022/2/20,,
2022/2/21,,
2022/2/22,,
2022/2/23,,
2022/2/24,,
2022/2/25,,
2022/2/26,,
2022/2/27,,
2022/2/28,,
2022/3/1,,
2022/3/2,,
2022/3/3,,
2022/3/4,,
2022/3/5,,
2022/3/6,,
2022/3/7,,
2022/3/8,,
2022/3/9,,
2022/3/10,,
2022/3/11,,
2022/3/12,,
2022/3/13,,
2022/3/14,,
2022/3/15,,
2022/3/16,,
2022/3/17,,
2022/3/18,,
2022/3/19,,
2022/3/20,,
2022/3/21,,
2022/3/22,,
2022/3/23,,
2022/3/24,,
2022/3/25,,
2022/3/26,,
2022/3/27,,
2022/3/28,,
2022/3/29,,
2022/3/30,,
2022/3/31,,
2022/4/1,,
2022/4/2,,
2022/4/3,,
2022/4/4,,
2022/4/5,,
2022/4/6,,
2022/4/7,,
2022/4/8,,
2022/4/9,,
2022/4/10,,
2022/4/11,,
2022/4/12,,
2022/4/13,,
2022/4/14,,
2022/4/15,,
2022/4/16,,
2022/4/17,,
2022/4/18,,
2022/4/19,,
2022/4/20,,
2022/4/21,,
2022/4/22,,
2022/4/23,,
2022/4/24,,
2022/4/25,,
2022/4/26,,
2022/4/27,,
2022/4/28,,
2022/4/29,,
2022/4/30,,
2022/5/1,,
2022/5/2,,
2022/5/3,,
2022/5/4,,
2022/5/5,,
2022/5/6,,
2022/5/7,,
2022/5/8,,
2022/5/9,,
2022/5/10,,
2022/5/11,,
2022/5/12,,
2022/5/13,,
2022/5/14,,
2022/5/15,,
2022/5/16,,
2022/5/17,,
2022/5/18,,
2022/5/19,,
2022/5/20,,
2022/5/21,,
2022/5/22,,
2022/5/23,,
2022/5/24,,
2022/5/25,,
2022/5/26,,
2022/5/27,,
2022/5/28,,
2022/5/29,,
2022/5/30,,
2022/5/31,,
2022/6/1,,
2022/6/2,,
2022/6/3,,
2022/6/4,,
2022/6/5,,
2022/6/6,,
2022/6/7,,
2022/6/8,,
2022/6/9,,
2022/6/10,,
2022/6/11,,
2022/6/12,,
2022/6/13,,
2022/6/14,,
2022/6/15,,
2022/6/16,,
2022/6/17,,
2022/6/18,,
2022/6/19,,
2022/6/20,,
2022/6/21,,
2022/6/22,,
2022/6/23,,
2022/6/24,,
2022/6/25,,
2022/6/26,,
2022/6/27,,
2022/6/28,,
2022/6/29,,
2022/6/30,,
2022/7/1,,
2022/7/2,,
2022/7/3,,
2022/7/4,,
2022/7/5,,
2022/7/6,,
2022/7/7,,
2022/7/8,,
2022/7/9,,
2022/7/10,,
2022/7/11,,
2022/7/12,,
2022/7/13,,
2022/7/14,,
2022/7/15,,
2022/7/16,,
2022/7/17,,
2022/7/18,,
2022/7/19,,
2022/7/20,,
2022/7/21,,
2022/7/22,,
2022/7/23,,
2022/7/24,,
2022/7/25,,
2022/7/26,,
2022/7/27,,
2022/7/28,,
2022/7/29,,
2022/7/30,,
2022/7/31,,
2022/8/1,,
2022/8/2,,
2022/8/3,,
2022/8/4,,
2022/8/5,,
2022/8/6,,
2022/8/7,,
2022/8/8,,
2022/8/9,,
2022/8/10,,
2022/8/11,,
2022/8/12,,
2022/8/13,,
2022/8/14,,
2022/8/15,,
2022/8/16,,
2022/8/17,,
2022/8/18,,
2022/8/19,,
2022/8/20,,
2022/8/21,,
2022/8/22,,
2022/8/23,,
2022/8/24,,
2022/8/25,,
2022/8/26,,
2022/8/27,,
2022/8/28,,
2022/8/29,,
2022/8/30,,
2022/8/31,,
2022/9/1,,
2022/9/2,,
2022/9/3,,
2022/9/4,,
2022/9/5,,
2022/9/6,,
2022/9/7,,
2022/9/8,,
2022/9/9,,
2022/9/10,,
2022/9/11,,
2022/9/12,,
2022/9/13,,
2022/9/14,,
2022/9/15,,
2022/9/16,,
2022/9/17,,
2022/9/18,,
2022/9/19,,
2022/9/20,,
2022/9/21,,
2022/9/22,,
2022/9/23,,
2022/9/24,,
2022/9/25,,
2022/9/26,,
2022/9/27,,
2022/9/28,,
2022/9/29,,
2022/9/30,,
2022/10/1,,
2022/10/2,,
2022/10/3,,
2022/10/4,,
2022/10/5,,
2022/10/6,,
2022/10/7,,
2022/10/8,,
2022/10/9,,
2022/10/10,,
2022/10/11,,
2022/10/12,,
2022/10/13,,
2022/10/14,,
2022/10/15,0.1734,positive
2022/10/16,0.21,positive
2022/10/17,0.0526,neutral
2022/10/18,-0.0641,neutral
2022/10/19,0.0603,neutral
2022/10/20,0.0597,neutral
2022/10/21,0.0392,neutral
2022/10/22,0.1061,positive
2022/10/23,-0.0481,neutral
2022/10/24,-0.022,neutral
2022/10/25,-0.0041,neutral
2022/10/26,0.0824,neutral
2022/10/27,0.134,positive
2022/10/28,0.0252,neutral
2022/10/29,-0.0643,neutral
2022/10/30,0.1543,positive
2022/10/31,0.1802,positive
2022/11/1,-0.0734,neutral
2022/11/2,0.0967,neutral
2022/11/3,0.0692,neutral
2022/11/4,0.033,neutral
2022/11/5,-0.0552,neutral
2022/11/6,-0.0017,neutral
2022/11/7,0.0861,neutral
2022/11/8,0.0188,neutral
2022/11/9,0.1492,positive
2022/11/10,0.1075,positive
2022/11/11,-0.0958,neutral
