AuthorID,Author,Date,Content,Attachments,Reactions,,,,
9.07202E+17,ballisticmystik,2022-01-03T00:32:30.7610000-05:00,Question...anyone familiar with the TWITTER DAO coin that came out yesterday?,,,,,,
9.07202E+17,ballisticmystik,2022-01-03T00:33:46.7630000-05:00,"It surged super hard....but I m having a really hard time pulling any out...I don't know if im doing something wrong or if its a scam coin, or what",,,,,,
9.07202E+17,ballisticmystik,2022-01-03T00:35:25.2810000-05:00,"It has paired liquidity pool and its showing liquidity available...;When it says I need to grant uniswaap permission to use the coin,  I though I was doing it right, but it. wouldnt let me 'write the con tract",,,,,,
7.47795E+17,sherieam,2022-01-03T00:53:07.9870000-05:00,"Your ticket >>> #deleted-channel 
⚠️ Please DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
9.07202E+17,ballisticmystik,2022-01-03T01:12:58.5740000-05:00,@Sherie thank you i am aware.  So what do you think....looks like a scam coin?\,,,,,,
7.47795E+17,sherieam,2022-01-03T01:13:29.9030000-05:00,Your ticket is here >>> #deleted-channel,,,,,,
9.249E+17,Truth#5707,2022-01-03T01:45:14.2550000-05:00,I have tried everything. Will I ever get to trade on Uniswap? I have done so many transactions so I don't even know if it will ever go through. I have put the has fee at 15% and down....nothing.,,,,,,
7.47795E+17,sherieam,2022-01-03T01:47:03.8520000-05:00,"@Truth@Truth Your ticket >>> #deleted-channel 
⚠️ Please DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
5.08392E+17,Tickets#6981,2022-01-03T02:33:01.9930000-05:00,":no_entry: Uniswap staff would never DM you first and never ask for your information or send you links to ""fix"" your account. 
:woman_construction_worker: No ""moderator"" or ""customer support"" will ever ask you for your seed!

:warning: Be suspicious of anyone who reaches out to you in private!
:selfie: Never trust dodgy direct messages!
:performing_arts: If you receive unsolicited messages offering help use the #⚠│report-scams channel to expose the fraudsters.

:warning: Never share your private keys or passwords with ANYONE (even if they claim to be from the Uniswap Team) 
:closed_lock_with_key: Never give/type out your seed (or share the encrypted .JSON)

:warning: Do not click on any links or download any files sent to you in a private message, this will result in loss of assets! 
:envelope_with_arrow: Turn off direct messages to disable the ability of the spammers to contact you directly.

:moneybag:There is no airdrop, giveaway nor promotion

:hot_face:Try to include the user ID of the scammer, this will prevent them from hiding by changing their nickname. 
https://support.discord.com/hc/en-us/articles/206346498-Where-can-I-find-my-User-Server-Message-ID-",,,,,,
7.49264E+17,0xnoahc,2022-01-03T03:21:27.7540000-05:00,"Guys, is limit order possible in uniswap v3?
I know LP at uniswap v3 is sort of limit order, but what I want to do is
simple limit order, which means if somebody swaps using my provided liquidity,
I want the swapped token to be automatically transferred to my account,
not remaining at the pool.",,,,,,
4.56227E+17,Deleted User,2022-01-03T03:51:49.1000000-05:00,,https://cdn.discordapp.com/attachments/597638926152499206/927484383395446804/IMG_5809.png?ex=65f800a4&is=65e58ba4&hm=b3c93b0274542f374ecb18c9ca06544d3aa51f9a2e6db54aaa81cfc012171628&,,,,,
7.47795E+17,sherieam,2022-01-03T04:05:06.5800000-05:00,"@Deleted UserTry deleting cache and cookies if not, try using the alternative IPFS gateways here: https://github.com/Uniswap/interface/releases/tag/v4.23.0

Or these links: 
https://bafybeicals7ohbyykungbndrzk3qf6pydcbe2w3a3pftwrfbjjirkpxqbq.ipfs.dweb.link/
https://bafybeicals7ohbyykungbndrzk3qf6pydcbe2w3a3pftwrfbjjirkpxqbq.ipfs.cf-ipfs.com/",,,,,,
7.25256E+17,davidone9896,2022-01-03T04:08:58.5690000-05:00,I want to sell a crypto but it does not charge the authorization even if I have the money to pay for the gas,,,,,,
9.2726E+17,synapse4684,2022-01-03T04:21:17.6230000-05:00,No balance is showing up when trying to convert eth on uniswap,,,,,,
9.2726E+17,synapse4684,2022-01-03T04:22:37.9430000-05:00,"Coinbase, funds are showing in the wallet and also in opensea when connected. Etherscan doesn’t show any funds yet though",,,,,,
7.08874E+17,sefa oktay baronnashor#9081,2022-01-03T04:30:52.7380000-05:00,,https://cdn.discordapp.com/attachments/597638926152499206/927494213887754270/unknown.png?ex=65f809cc&is=65e594cc&hm=39b3804934ffe870000b090f45279caeb70aefec1632ef6cfbfd0b136ec971e2&,,,,,
7.08874E+17,sefa oktay baronnashor#9081,2022-01-03T04:31:55.3960000-05:00,"I can't sell my token, it stays that way and returns..",,,,,,
6.83992E+17,aetoday,2022-01-03T05:07:36.5250000-05:00,Hello. Is it possible in uniswap (using metamask) make exchange where i buy coin from one wallet but get other (swap) coin to other wallet? And how to set it?,,,,,,
7.47795E+17,sherieam,2022-01-03T05:20:29.0050000-05:00,You mean swap then send to another address? It is not possible with Uniswap,,,,,,
6.83992E+17,aetoday,2022-01-03T05:20:38.2060000-05:00,no,,,,,,
7.47795E+17,sherieam,2022-01-03T05:21:13.7480000-05:00,"@davidone @sefa oktay baronnashor Please respond to your tickets >>> #deleted-channel #deleted-channel 
⚠️ Please DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
6.83992E+17,aetoday,2022-01-03T05:21:53.4360000-05:00,in one transaction. I  dont know how to set it. To give from 1st wallet and get to 2nd wallet in one transaction,,,,,,
7.47795E+17,sherieam,2022-01-03T05:22:22.0100000-05:00,That's not possible with Uniswap,,,,,,
6.83992E+17,aetoday,2022-01-03T05:23:38.6140000-05:00,but with metamask ?,,,,,,
7.47795E+17,sherieam,2022-01-03T05:24:09.9640000-05:00,You can ask Metamask if that is supported. I believe it won't.,,,,,,
6.83992E+17,aetoday,2022-01-03T05:25:24.7240000-05:00,very useful option. dont need make 2 transactions when buy and send to exchange,,,,,,
