AuthorID,Author,Date,Content,Attachments,Reactions,,,
5.08392E+17,Tickets#6981,2022-09-10T00:48:08.2400000-04:00,,,,,,
7.56757E+17,TJ_PP#1018,2022-09-10T04:41:10.1680000-04:00,"Hi, does anyone know why the Arbitrum section of info.uniswap.org still does not have the ""Liquidity"" chart for each pool? It's the chart that shows the distribution of pool tokens across the price range. Both Optimism and Polygon pools have this chart. Thanks!",,,,,
7.45905E+17,cindylo0,2022-09-10T04:43:59.3730000-04:00,Hi. Please reply to your opened ticket here #deleted-channel,,,,,
7.84341E+17,rina9825,2022-09-10T05:34:04.7720000-04:00,where can I verify if my metamask pass phrase is valid?,,,,,
7.45905E+17,cindylo0,2022-09-10T05:35:22.9840000-04:00,"If you are able to load your wallet after importing it in the MetaMask app.

Please DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,
7.45905E+17,cindylo0,2022-09-10T05:35:55.3630000-04:00,"⚠️ Never share your private keys or passwords with ANYONE (even if they claim to be from the Uniswap Team)
🔐 Never give/type out your seed (or share the encrypted .JSON)",,,,,
7.84341E+17,rina9825,2022-09-10T05:36:03.4770000-04:00,"ok, thanks!",,,,,
8.90672E+17,leoaraujo21,2022-09-10T07:38:37.4510000-04:00,"Hi, Have some extra  fees when collect directly ETH?",,,,,
7.45905E+17,cindylo0,2022-09-10T07:39:13.6870000-04:00,There is none.,,,,,
8.90672E+17,leoaraujo21,2022-09-10T07:39:34.8520000-04:00,Thank's,,,,,
3.03411E+17,ji_cryptotainer,2022-09-10T11:38:40.0410000-04:00,"Hello.
Is there going to be a contract pause like some other plattforms through the merge or is everything going to be running without pause.",,,,,
5.08392E+17,Tickets#6981,2022-09-10T11:39:53.1830000-04:00,,,,,,
4.65797E+17,jakekvm01,2022-09-10T11:40:49.9170000-04:00,@Ji (Cryptotainer) ☝️,,,,,
3.03411E+17,ji_cryptotainer,2022-09-10T11:44:49.5340000-04:00,ok so no pause. The TWAP change i have read about. I was simply wondering since chainlink suggests protocol to pause during the merge though they are going to keep providing data through it.,,👍 (1),,,
8.99295E+17,deranged_mouse,2022-09-10T12:11:34.0110000-04:00,"Hi,
any updates on the nft marketplace",,,,,
6.66139E+17,bing2,2022-09-10T12:12:39.2640000-04:00,No news about this yet. Stay tuned in #📣│announcements,,,,,
6.56981E+17,lol44_7489,2022-09-10T12:17:09.7100000-04:00,"Hello, where can I open a ticket?",,,,,
5.08392E+17,Tickets#6981,2022-09-10T12:17:25.8080000-04:00,,,,,,
5.08392E+17,Tickets#6981,2022-09-10T15:02:43.2810000-04:00,,,,,,
7.67441E+17,massbit,2022-09-10T15:08:52.1640000-04:00,"hello , how to add testnet binance on metamask ios ?",,,,,
6.66139E+17,bing2,2022-09-10T15:09:37.9830000-04:00,Uniswap does not support BSC nor its testnets.,,👆 (2),,,
